,Unnamed: 0,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count,Biased,label
3,3,4.64344942,17.74461028,1.8242122719999998,7.131011609,5.970149254,22.55389718,0.49751243799999995,1.8242122719999998,7.960199005,28.19237148,10.28192371,32.66998342,17.24709784,51.74129353,4.145936982,15.09121061,5.638474295,20.89552239,29.68490879,3.980099502,0.8291873959999999,1,others
7,7,2.475247525,9.900990099,0.495049505,1.98019802,2.475247525,9.405940594,1.485148515,5.9405940589999995,6.930693069,24.75247525,9.900990099,34.15841584,21.78217822,58.91089109,7.425742574,25.74257426,3.96039604,13.86138614,29.20792079,2.97029703,0.99009901,1,others
8,8,6.467661692,23.38308458,0.49751243799999995,1.990049751,5.970149254,23.88059701,1.990049751,7.960199005,9.950248756,35.32338308,15.92039801,48.75621891,23.88059701,67.66169154,7.462686567,24.87562189,10.94527363,37.31343284,28.35820896,6.467661692,0.9950248759999999,1,others
9,9,1.739130435,6.086956522,0.434782609,1.739130435,1.3043478259999999,5.2173913039999995,0.0,0.0,8.695652174,32.17391304,16.95652174,53.47826087,16.08695652,47.82608696,4.7826086960000005,16.52173913,9.130434783,31.73913043,31.30434783,2.173913043,2.173913043,1,others
16,16,1.5625,5.208333333,0.520833333,2.083333333,1.041666667,4.166666667,3.125,11.97916667,5.729166667,19.27083333,11.45833333,34.89583333,16.14583333,46.875,8.854166667000001,30.72916667,8.333333332999999,22.91666667,30.72916667,2.604166667,0.520833333,1,others
17,17,3.2653061219999997,11.42857143,0.0,0.0,2.040816327,7.755102041000001,0.408163265,1.6326530609999999,5.306122449,19.59183673,9.795918367,33.06122449,18.7755102,56.32653061,8.163265306,28.97959184,7.755102041000001,28.16326531,27.34693878,1.6326530609999999,0.816326531,1,others
19,19,1.659751037,6.639004149,0.829875519,3.319502075,1.244813278,4.979253112,1.244813278,4.979253112,4.979253112,18.67219917,6.22406639,19.08713693,20.33195021,56.43153527,2.904564315,11.61825726,2.074688797,8.298755187000001,29.04564315,0.829875519,0.0,1,others
23,23,1.960784314,7.843137255,0.980392157,3.921568627,3.18627451,11.76470588,0.980392157,3.921568627,8.578431372999999,29.41176471,11.51960784,38.97058824,17.40196078,48.7745098,3.676470588,13.23529412,10.78431373,36.2745098,28.18627451,5.6372549020000005,2.2058823530000002,1,others
25,25,3.3264033260000003,12.26611227,1.6632016630000002,6.652806653,1.455301455,5.821205821,2.2869022869999998,9.147609147999999,4.781704782,19.12681913,9.355509356,31.80873181,17.46361746,51.35135135,4.158004158,15.59251559,4.5738045739999995,16.21621622,27.65072765,2.494802495,1.03950104,1,others
28,28,2.487562189,9.950248756,1.4925373130000001,5.4726368160000005,4.47761194,16.91542289,0.9950248759999999,3.980099502,6.965174128999999,27.36318408,11.94029851,40.29850746,21.89054726,66.66666667,4.47761194,16.41791045,8.955223881,33.33333333,30.34825871,4.47761194,0.9950248759999999,1,others
29,29,3.571428571,14.28571429,1.5873015869999998,5.952380952,5.555555556,21.42857143,1.19047619,4.7619047619999995,12.698412699999999,46.42857143,7.142857143,25.79365079,18.65079365,52.77777778,5.555555556,19.44444444,6.746031746,25.396825399999997,28.57142857,0.793650794,0.0,1,others
30,30,2.654867257,10.61946903,1.769911504,7.079646017999999,6.194690265,23.00884956,1.769911504,7.079646017999999,12.38938053,40.26548673,7.079646017999999,23.45132743,19.02654867,57.96460177,6.637168142,23.89380531,5.752212388999999,21.23893805,30.08849558,0.884955752,1.3274336279999999,1,others
32,32,2.016129032,7.258064516,0.806451613,3.225806452,1.612903226,6.048387097000001,0.806451613,3.225806452,5.241935484,19.35483871,17.74193548,53.22580645,22.17741935,58.46774194,7.258064516,24.59677419,9.677419355,31.85483871,30.24193548,4.032258065,1.612903226,1,others
33,33,4.444444444,17.77777778,5.185185185,18.51851852,0.740740741,1.4814814809999999,0.0,0.0,6.666666667,22.22222222,14.81481481,43.7037037,20.74074074,60.0,4.444444444,14.81481481,4.444444444,17.03703704,31.11111111,1.4814814809999999,0.0,1,others
35,35,1.876675603,6.970509383,0.536193029,2.144772118,7.774798927999999,28.15013405,1.3404825740000001,5.361930295,10.18766756,34.31635389,8.310991957,27.61394102,15.81769437,51.20643432,3.217158177,12.60053619,3.485254692,12.60053619,30.831099199999997,0.0,1.876675603,1,others
37,37,1.960784314,7.843137255,0.39215686299999997,1.568627451,5.882352941000001,21.17647059,1.960784314,7.843137255,9.803921569,36.8627451,9.411764706,35.29411765,19.60784314,55.29411765,2.7450980389999997,10.58823529,14.50980392,49.01960784,35.29411765,7.450980392000001,0.39215686299999997,1,others
39,39,2.593659942,9.798270893,3.170028818,12.1037464,7.492795388999999,25.36023055,0.288184438,1.152737752,13.25648415,38.90489914,7.204610951,23.05475504,15.27377522,45.53314121,0.864553314,3.458213256,6.340057637,21.90201729,28.8184438,2.305475504,0.864553314,1,others
41,41,1.754385965,7.01754386,0.29239766100000003,1.169590643,2.631578947,10.52631579,0.29239766100000003,1.169590643,7.894736842,27.48538012,12.28070175,40.35087719,16.95906433,48.538011700000006,6.140350877,18.71345029,11.69590643,38.59649123,28.07017544,1.754385965,2.046783626,1,others
43,43,3.5460992910000004,13.475177300000002,0.0,0.0,2.127659574,8.510638298,0.709219858,2.836879433,2.836879433,9.929078014,13.475177300000002,39.71631206,19.14893617,55.31914894,4.255319149,14.18439716,14.18439716,36.87943262,29.78723404,4.255319149,1.418439716,1,others
44,44,1.8779342719999998,7.5117370889999995,0.46948356799999996,1.8779342719999998,4.694835681,17.84037559,0.46948356799999996,1.8779342719999998,10.3286385,36.15023474,13.61502347,44.1314554,12.67605634,40.84507042,2.816901408,11.26760563,16.43192488,50.70422535,30.51643192,4.694835681,4.694835681,1,others
46,46,1.223776224,4.895104895,1.3986013990000001,5.5944055939999995,2.272727273,8.916083916,1.223776224,4.545454545,5.769230769,21.85314685,12.58741259,40.73426573,14.16083916,44.58041958,4.195804196,15.90909091,7.1678321679999994,25.52447552,31.99300699,3.496503497,2.6223776219999997,1,others
53,53,2.281368821,8.745247147999999,0.380228137,1.520912548,3.041825095,11.02661597,1.520912548,5.703422053,7.224334601,25.09505703,11.02661597,36.121673,23.19391635,63.11787072,6.08365019,22.43346008,12.92775665,42.58555133,29.27756654,0.760456274,1.901140684,1,others
57,57,2.597402597,9.956709957000001,1.298701299,5.194805195,3.03030303,12.12121212,1.731601732,6.0606060610000005,6.0606060610000005,21.64502165,11.25541126,37.22943723,21.64502165,57.57575758,6.0606060610000005,22.94372294,11.68831169,39.39393939,30.303030300000003,2.164502165,0.432900433,1,others
60,60,3.7735849060000004,14.150943400000001,0.471698113,1.8867924530000002,2.358490566,9.433962264,1.41509434,5.660377358,4.716981132,16.50943396,10.849056599999999,36.32075472,19.33962264,58.96226415,4.2452830189999995,16.03773585,11.79245283,40.56603774,28.77358491,1.41509434,1.8867924530000002,1,others
61,61,3.381642512,13.52657005,1.4492753619999998,5.7971014489999995,2.415458937,8.695652174,0.48309178700000005,1.93236715,5.7971014489999995,21.73913043,12.56038647,38.16425121,21.73913043,62.31884058,3.8647343000000003,15.458937200000001,14.00966184,40.57971014,31.40096618,1.93236715,0.48309178700000005,1,others
63,63,3.7209302330000003,14.88372093,0.46511627899999997,1.8604651159999999,1.8604651159999999,7.441860465,1.8604651159999999,7.441860465,5.11627907,19.53488372,13.48837209,46.04651163,22.79069767,61.86046512,8.837209302,28.837209299999998,9.76744186,30.23255814,30.23255814,4.651162791,1.3953488369999998,1,others
64,64,1.114206128,4.178272981,0.278551532,1.114206128,1.39275766,5.571030641,0.278551532,1.114206128,5.292479108999999,18.94150418,9.749303621000001,33.70473538,17.54874652,52.92479109,4.178272981,14.7632312,8.913649025,30.36211699,29.80501393,5.571030641,1.114206128,1,others
65,65,2.392344498,9.56937799,1.435406699,5.741626794,3.349282297,12.44019139,0.9569377990000001,3.8277511960000004,7.655502392000001,29.18660287,16.74641148,55.98086124,14.83253589,50.71770335,4.784688995,17.22488038,13.87559809,46.41148325,31.10047847,3.349282297,1.9138755980000002,1,others
70,70,1.8604651159999999,7.441860465,1.3953488369999998,5.581395349,1.8604651159999999,7.441860465,0.46511627899999997,1.8604651159999999,6.511627907,21.86046512,6.511627907,24.65116279,14.88372093,45.11627907,6.046511627999999,20.0,5.581395349,20.93023256,29.30232558,1.3953488369999998,0.0,1,others
