Sr No,Event,Article ,Headline,Publisher,Label
130,,"MUMBAI: Energy minister Nitin Raut of the Congress said the opinion expressed by chief minister Uddhav Thackeray on the CAA and NPR appeared to be the views of the Shiv Sena.

""In my opinion, Thackeray has expressed his view in his capacity as the president of the Shiv Sena,"" Raut said.

Raut said the core committee of the Maha Vikas Aghadi would have to take a firm stand on the CAA and NPR.

""We are a three-party government comprising Shiv Sena, Congress and NCP. We are committed to implementing the common minimum programme. Sooner or later, the core committee will have to take a firm stand against the CAA and NPR. Both Congress and NCP, which are UPA partners at the national level, have made clear they are against CAA and NPR,"" he said.",,,
131,,"Former Minister and Congress leader Mohd. Ali Shabbir has strongly opposed Home Minister Md. Mahmood Ali's statement that Telangana Government would implement the National Population Register (NPR) in the new format.

Addressing a 'mushaira' held against the Citizenship Amendment Act (CAA), National Register of Citizens (NRC) and NPR at Quli Qutub Shah Stadium here on on Monday night, he reiterated the allegation that Chief Minister K. Chandrasekhar Rao is a BJP ally and his government is ready to implement CAA, NRC and NPR in Telangana. He observed that the TRS opposition to the Citizenship Amendment Bill in Parliament was only an attempt to mislead people, especially Muslims.

Similarly, the proposed resolution likely to be adopted in Assembly opposing the CAA would be another move to cheat people. ""What is preventing Mr. Rao from making an open statement that the State government would not implement CAA, NRC and NPR,"" he sought to know.

The Congress leader condemned Home Minister Mahmood Ali for his statement that NPR would be implemented in Telangana with six additional questions that require people to report the date and place of birth of their parents. He reminded that it was the Congress-led UPA government that had launched the population register in 2010 with 21 simple parameters and no community or individual had any objection to it.

However, the BJP government made it contentious by adding six new parameters which include Aadhaar number of the resident, voter ID, PAN, driving licence number and mobile phone and date and place of birth of parents and the last place of residence, Mr. Shabbir Ali stated. ""Before asking people, let Mr. Rao and Mr. Mahmood Ali tell the date of birth of their parents and furnish documents to prove it"", he suggested.

He stated that all Congress-ruled States had announced that they would not implement CAA, NRC and NPR and sought to why Mr. Rao is not doing so. He also slammed MIM leader Waris Pathan for his controversial ""15 crore versus 100 crore"" remark made a rally in Karnataka recently. He accused the MIM leaders of helping the BJP in the implementation of communal agenda in the country.

""With his controversial remarks, MIM leader had tried to sabotage the Shaheenbagh and other anti-CAA protests. People belonging to all religions and communities are taking part in the anti-CAA protests. But Mr. Pathan, at the instance of BJP and RSS, has tried to give a wrong impression that anti-CAA agitation belongs to only one particular community,"" the Congress leader observed.

Congress MP A. Revanth Reddy, Siasat Urdu daily Managing Editor Zaheeruddin Ali Khan, Youth Congress president M. Anil Kumar Yadav and other senior leaders participated in the protest mushaira.",,,
132,,"JAIPUR: Congress leader Rahul Gandhi on Tuesday accused Prime Minister Narendra Modi of destroying India's image as a country of peace and harmony and urged the youth not to let their voices be suppressed.

Rahul, who was addressing the 'Yuva Aakrosh' rally in the city, refrained from speaking directly against the Citizenship (Amendment) Act but lashed out at the Modi government for failing to generate employment for youth.

Coming down heavily on Modi government's promise of creating two crore new jobs every year, he claimed that one crore people had lost their jobs in the past year. ""Where are the 12 crore jobs of six years,"" he asked.

""Modi gives long speeches on CAA, NRC and NPR but prefers to remain silent on the issue of unemployment,"" he said, adding that ""the growth rate during UPA's tenure, which stood at 9 per cent, has fallen to below 5 per cent, according to the new parameters for calculating the GDP"".

""If we calculate it as per the earlier parameters, it will be around 2.5 per cent,"" the Congress leader said.

He urged the youth not to let their voice be suppressed and ask questions on employment and on the country's future.

Rahul Gandhi said that India was known as a country of peace and harmony, often cited as a contrast to Pakistan. But the image is now tarnished, and businessmen are wary of investing in the country, he claimed.",,,
133,,"In August 2017, I travelled to Kerala to shoot a special feature for Times Now on the series of political killings of RSS and Left workers, a bloody ongoing rivalry that dates back to the 1960s. The epicenter of this blood-feud is the district of Kannur, and a visit to the Communist Pary of India (Marxist) headquarters there provided a telling indication of the crisis of credibility that afflicts one of the self-proclaimed representatives of political liberalism in India. The four walls of the building's central hall are adorned with photographs of the party's 'martyrs' through the years, who've fallen at the hands of ideological and political rivals in a state where party or organizational affiliation worn as a badge of honour could also earn a place on an opponent's hit-list. But right above these photographs hung massive portraits of Communism's biggest icons, also some of the world's most ruthless tyrants. If Vladimir Lenin, Joseph Stalin, and Mao Zedong who murdered millions, eliminated rivals, and crushed dissent continue to inspire its cadres today, surely the moral high ground the Left likes to claim over a 'fascist-inspired Hindutva' propagated by the RSS and the BJP falls flat?

The ideological turf wars that the Left has waged against its opponents in Kerala and West Bengal, and the consequent retaliation, have claimed hundreds of lives through the decades. And yet, India's over-ground Communist parties are bracketed with the thoughts and ideas that social liberalism is meant to stand for: defending the right to free speech and expression, respect for religious and intellectual diversity, promoting inclusivity and accommodation, upholding one's fundamental rights and holding institutions accountable. But it's not just the Left that is undeserving of this association with liberalism. If the BJP, in the Opposition's eyes, is the anti-thesis of liberalism, the reality of India is that there's no other party worth its weight that can claim to truly represent itself as a liberal alternative.

One need not even go as far back as the Emergency or the anti-Sikh massacre to expose the Congress party's double-speak on liberalism. Several of the so-called 'urban naxals', such as Vernon Gonsalves and Sudhir Dhawale, whose arrests it now condemns as an act of muzzling dissent had brushes with the law and were jailed during the UPA tenure. The party's religious appeasement involved calls to fast-track terror cases where 'innocent' Muslims had been arrested, but it was the Maharashtra ATS reporting to a Congress-NCP government that jailed 10 Muslims for the 2006 Malegaon blasts. A decade later, they were acquitted with a large chunk of their life taken away from them, after the NIA under the UPA pursued a 'saffron-terror' angle, which too would wreck the lives of many Hindu under-trials before their cases fell flat.

Curbs on artistic creativity, bans on books, and imprisonment of cartoonists - remember Aseem Trivedi - are not a distant memory under the UPA rule. In fact, the UPA also stands guilty of not aggressively pushing for securing the rights of LGBTQIs as its reaction in 2009 when the Delhi High Court decriminalized homosexuality was guarded. It was only in 2013 when the Supreme Court overturned the 2009 verdict that the Congress' top brass including Rahul Gandhi spoke openly in favour of equal rights. And if that isn't enough, its opportunistic alliance with the Shiv Sena in Maharashtra represents anything but a commitment to the 'secular and liberal' values it claims to champion. It has clearly forgotten the 1992-93 Mumbai riots and the allegations it had leveled against the Shiv Sena over its participation, it has forgotten its own condemnations of the Sena's acts of vandalism, and its own accusations of its now-ally's 'fascist' leanings.

If that leaves Mamata Banerjee as a liberal alternative, one has to worry about the fate of liberalism in India. Her stature as a popular bulwark against the BJP in West Bengal has, among the BJP's critics, overshadowed the discourse around her own illiberal instincts, including jailing those who've caricatured her, and the violence of her party workers to preserve the hegemony the TMC currently enjoys in West Bengal. If the BJP's Hindutva assertion is a cause for alarm, Mamata Banerjee's desperation in ensuring the Muslim vote bank in West Bengal remains hers has been a recipe for polarization. And if one looks upon Mamata as a feminist for having fielded more women as candidates than her rivals, her party's confused response to triple talaaq, her silence on Sabarimala, or her callous reaction in 2012 to the Park Street rape are hardly assuring.

As for the AAP, many experts have speculated about their national viability after their triumph in Delhi. But Arvind Kejriwal's strategy of steering clear from commenting on 'national' issues, and preferring safety in silence than taking a position and drawing controversy clearly meant that he was shying away from an ideological fight.

But liberalism is alive, among the people and among certain institutions. The protests around the country against the CAA and the NRC cannot be simply dismissed as an overall expression of assertion by the Islamic fringe. Though it is undeniable that several radical Muslims have become involved, people from across faiths and across cities have participated in a movement that they believe is a necessary fight to protect the Indian Constitution. One can argue whether these fears are misplaced, but the BJP's climbdown on the NRC followed its own extremely bellicose campaign linking it with the CAA that only created uncertainty.

The prolonged lockdown in Jammu and Kashmir and the 'preventive' arrests of erstwhile allies of the ruling party have evoked considerable criticism, whatever one's views on Article 370. Civil society was very active in the legal campaign waged against Section 377, and the outrage against regressive practices such as triple talaaq was not confined to Muslim women. The apex court, by and large, has been receptive to this liberal impulse, be it in its decision to introspect on its own judgement on homosexuality and deliver a progressive verdict in 2018, decry the sexism and misogyny inherent in the erstwhile adultery law, and upholding India's identity as a secular state in its unanimous judgement in favour of Hindus in the Ayodhya case. While the Supreme Court's decision to re-examine its Sabarimala judgement allowing women between the ages of 10 to 50 entry into the temple has upset some liberals, its decision to deliberate on the matter under the larger rubric of women's rights together with discriminatory traditions in other religions may address the accusation of selectivity that both the court, and liberals, often invite.

But courts, fallible as they are, are an instrument of last resort, when faith in elected representatives has eroded. Unfortunately, that is the case in India. If India's liberals cringe about the BJP's free run to its communal rabble-rousers during election campaigns, or the branding of its critics as anti-nationals or part of a discredited 'Lutyens or Khan Market' cabal, there's virtually nothing they can celebrate about the Opposition. India's liberals know what they're opposing, and are making their voices heard, but there's no party they can really support.",,,
134,,"NEW DELHI: Congress on Thursday said the Nehru-Liaquat agreement of 1950 explicitly mentioned that citizenship would be religion-neutral as it accused Prime Minister Narendra Modi of misleading the house to justify the controversial CAA.

Congress slammed Modi's speech in Lok Sabha as ""oscillating between stand-up comedy, half-truths and rank communalism"". AICC leader Rahul Gandhi accused the PM of distracting the country by talking about everything except youth unemployment.

After Modi quoted first premier Jawaharlal Nehru's pact with Pakistan and his communications with Assam's first chief minister to say that Nehru too wanted citizenship for minorities, AICC spokesman Manish Tewari slammed him for selectively quoting ""his illustrious predecessor"" and demanded that he apologise to the country. Congress said Modi had compromised national pride by mentioning Pakistan seven times in his speech and undoing the success of UPA regime in de-hyphenating India and Pakistan.",,,
135,,"All the regional parties have surrendered to the saffron party'

The Congress is the only party that can fight against the ruling BJP at the Centre, and to which all the regional parties, including the YSRCP, the TDP and the JSP, have surrendered, according to newly appointed APCC president S. Sailajanath.

Speaking at his swearing-in here on Wednesday, Mr. Sailajanath said all the regional parties were bowing before the Centre that was taking ""anti-people decisions.""

In such a scenario, it was only the Congress that could stand by the people and fight for them, he said.

Mr. Sailajanath dared Chief Minister Y.S. Jagan Mohan Reddy to pass a resolution against the Citizenship Amendment Act (CAA) and the National Population Register (NPR) in the Assembly.

He asked the Congress activists and leaders to come out of their comfort zones and reach out to the masses.

Oommen Chandy, Congress party in-charge of Andhra Pradesh, said, ""The party's position in the State is not good, but we have good space here. Special Category Status (SCS) was assured by the UPA, but the BJP failed to accord it because it is against the State. The regional parties are weakened. The YSRCP government in the State has also become unpopular in a short time.""

""I request all the leaders who left the party in A.P. to return. We welcome them,"" he said, and asked the party rank and file to garner the support of people by taking to the streets and strengthen the party.

N. Tulasi Reddy and Sk. Mastan Vali were sworn-in as working president of the party in the State.

Senior leader and Rajya Sabha member K.V.P. Ramachandra Rao, Nalgonda MP and Telangana PCC president Uttam Kumar Reddy, former Union Ministers K.H. Muniyappa, M.M. Pallam Raju, and J.D. Seelam, Karnataka leader Dinesh Gundu Rao, All-India Mahila Congress president Susmitha Dev, AICC SC Cell chairman Koppula Raju, and TPCC leader Mallu Bhatti Vikramarka attended the programme.",,,
136,,"NEW DELHI: With the Budget session of Parliament due to begin later this week, Congress is readying a ""vigorous"" two-pronged attack on the Modi government over the controversial CAA-NRC-NPR as well as on the downward spiral of the economy.

Party sources said the session will see Congress corner the government over economic stress, increasing joblessness, plunging GDP and rising inflation on the one hand, while on the other, it will also continue its attack on the government over its ""communal and divisive"" agenda -- displayed though the controversial Citizenship Amendment Act, proposed National Register of Citizens (NRC) and National Population Register (NPR).

Congress will also hold a training session for its MPs, general secretaries and senior party functionaries on February 4, to explain to them the differences between the NPR proposed by BJP -- with the additional questions -- and the one that was mooted by the UPA government in its first term. Party sources said the leadership feels there is a need to have complete clarity among its members on what Congress is opposing in the new NPR and why it believes that the additional data is, in fact, being collected as a pre-cursor to NRC.

""After coming under attack over NRC, the government has now mooted NPR which is nothing but the first step to NRC. While the government is now trying to confuse people by claiming that the information sought under NPR is optional, we want to expose the government's real segregationist agenda behind the exercise,"" a Congress functionary said.

Senior Congress leader P Chidambaram who was Union home minister when the idea of NPR was first mooted, will lead the training session to explain the differences between the old and new NPR to Congress functionaries. He will be aided in the exercise by his Rajya Sabha colleague Jairam Ramesh.",,,
137,,"NEW DELHI: Prime Minister Narendra Modi on Thursday warned that street protests and arson against decisions of Parliament and state assemblies and people's refusal to accept laws will lead to anarchy, as he accused the Congress and other opposition parties of inciting protests against the CAA and the NPR.

Stoutly defending the Citizenship (Amendment) Act(CAA) and the updation of the National Population Register(NPR), Modi told Parliament there is an attempt to cover undemocratic activity under the garb of protests and that no one is going to get political benefit.

The prime minister accused the Opposition of using all its might to stoke ""imaginary"" fears about the CAA and the NPR which is worrisome and dangerous for the country.

""Don't try to mislead people"", Modi asserted, as he likened the Opposition's stand on the CAA to that of Pakistan, saying Islamabad spoke the same language for decades to mislead and incite Indian Muslims.

Modi tore into the Opposition in marathon combative speeches in the Lok Sabha and the Rajya Sabha, and said those rejected by people in elections are fuelling protests against the CAA and the NPR for their ""vote bank politics"". The fresh attack against the Opposition came two days ahead of the Assembly polls in Delhi which has witnessed protests in Shaheen Bagh, Jamia Millia and other areas.

Maintaining that the CAA does not affect any Indian citizen and poses no harm to minorities and that opposing NPR for political reasons will deprive the poor of benefits of welfare schemes, the prime minister said instead of scaring people right information needs to be provided and that there should be proper discussions. Questions asked in the NPR are purely governance related, he stressed.

The prime minister said Census and the NPR are ""usual administrative"" processes which have been carried out previously as well but have now suddenly become contentious.

Modi was replying to the debate in the Lok Sabha and the Rajya Sabha on the Motion of Thanks on the President's Address. The Motion was later adopted by the two Houses.

The prime minister delivered a stinging rebuttal to the Opposition over most issues its members raised to criticise his government and took on the charge that he pursued communal politics and wanted Hindu rashtra. He cited comments of Jawaharlal Nehru to back the law and said the Congress stalwart wanted citizenship for minorities from Pakistan.

Modi said Nehru had wanted to defend minorities in then West Pakistan and East Pakistan (now Bangladesh).

""Was he communal, did he want to create a Hindu Rashtra...I want to ask the Congress,"" the prime minister said.

Modi also touched on the issues of Kashmir, economy, unemployment and farmers distress while taking frequent digs at rivals, including Congress leader Rahul Gandhi whom he dubbed a ""tubelight"". Describing Jammu and Kashmir as the ""crown jewel of India"", he said the identity of Kashmir was buried when the exodus of Kashmiri Pandits began in 1990.

Amid thumping of benches by ruling BJP members and their allies, the prime minister invoked the Constitution to warn against street protests to oppose decisions taken by Parliament and state assemblies.

The Congress was expected to be a responsible Opposition, but it had taken a wrong turn, he said.

Noting that the CAA was passed by Parliament and duly notified, he told opposition parties that the road taken by them raises worries, a reference to anti-CAA protests and support to them by many anti-BJP parties.

""What will happen if people refuse to accept a decision taken by the Rajasthan assembly, stage dharnas and resort to arson?' Modi asked and gave a similar example of Madhya Pradesh. The Congress is in power in the two states.

""What will then happen? Can the country run this way? This is road to anarchy... Such a way can put you (Opposition) in trouble as well. I am giving this warning as we all should be concerned about the country.""

""It is due to your work that people have sent you there,"" he said, referring to the opposition benches. ""Everybody has a right to put across their point of views but no good will come out of spreading lies and rumours. Respect the Constitution,"" he added.

People associated with the Congress and the Left have been inciting people, he said.

Dwelling at length on the NPR in the Rajya Sabha, Modi said it was being updated to allow the rightful beneficiaries get the benefit of government welfare schemes. The NPR was first done in 2010 and later updated in 2015, he added.

He said census and the NPR are ""usual administrative"" processes which have been carried out previously as well but have now suddenly become contentious.

Questions asked in the NPR are purely governance related, he said, citing the example of asking citizens of the language spoken by them and their parents are deeply linked to the schools that need to be set up in that particular area.

""They are opposing (NPR) for narrow and frivolous political narrative. This is anti-poor,"" he said, adding his government had made productive use of the data collected by previous NPR to give benefits of the schemes to the poor. He asked opposition parties to not politicise the issue for narrow political gains.

""We have record of your NPR, no citizen was persecuted based on that record of NPR,"" he said, citing the statement of the home minister of the Congress-led UPA government appealing to citizens to enrol in the exercise.

Hitting back at the Congress over its charge that his government violated the Constitution, Modi said it should be the party's mantra to speak 100 times a day about ""saving Constitution"" so that it remembers its sanctity.

Modi said India can no longer wait for problems to remain unsolved, and, rightfully so. ""That is why, our aim is speed and scale, determination and decisiveness, sensitivity and solutions"".

""The people of India have not only changed the Sarkar (government). They want the 'Sarokar' (conduct) to be changed as well. If we had worked according to the old ways and thought processes: Article 370 would never have been history. Muslim women would have kept suffering due to triple talaq,"" he said.

The prime minister said if his government worked as per the old ways, the Ram Janmabhoomi issue would have remained unsolved, Kartarpur Sahib corridor would not be a reality and there would be no India-Bangladesh land agreement.",,,
138,,"New Delhi: Referring to the anti-CAA protests in the city, Delhi BJP chief Manoj Tiwari on Monday said that people were still ""confused"" about the amendment made to the law and were creating an ""atmosphere of unrest"".

While urging protesters to practice restraint and maintain peace, Tiwari, who is a Member of Parliament from North East Delhi where violent clashes erupted on Sunday between those favouring and opposing CAA, said lakhs of people were being ""harassed"" due to the agitations.

""Under the guise of peaceful demonstration, miscreants are harassing millions of Delhiites by protesting on roads and committing violent activities. It is now important that they be controlled as soon as possible,"" Tiwari said.

Former Delhi Congress chief Ajay Maken, however, urged chief minister Arvind Kejriwal to not appear ""helpless"" and take the ""lead"" in bringing the situation firmly in control.

In a series of tweets, Maken suggested setting up of a helpline to take complaints of violence or police inaction, calling an all-party meet to take suggestions from functionaries across party lines and formation of peace committees in troubled areas.

Maken, who was junior home minister in the UPA-II government between 2009-11, said he was making the suggestions to deal with Delhi riots on the basis of his experience in dealing with numerous administrative responsibilities.

In his tweets, Maken suggested: ""Establish a helpline directly under your office to receive complaints of violence or police inaction. This should be monitored and further passed on to police and the local SDM. Immediately call an all-party meeting, take suggestions and work across political parties to restore normalcy in troubled areas. Form peace committees with social influencers, including MLAs, councillors, district magistrate, local SHO and SDM. Make each minister of your cabinet in chargeof such committees and ask them to hit the ground.""

The senior Congress functionary also asked the chief minister to establish a hotline with the lieutenant governor and talk to him every hour to take stock of the situation. ""Take a lead and don't sit back blaming others. As a CM, please do not appear to be helpless. This would badly erode a much-needed credibility of our democratic institutions to protect atrocity/violence against innocent citizens,"" he added.

Senior BJP functionary and Rajya Sabha MP Vijay Goel said he will start a campaign against Shaheen Bagh protests on March 1 from Delhi University's Bonta Park. He added he will visit parks across the city every morning to talk about Shaheen Bagh.

""Women at Shaheen Bagh are being exploited as shields by Opposition parties. This is a very well-thought conspiracy to instigate riots,"" the MP claimed.",,,
139,,"JAIPUR: Congress MP Rahul Gandhi on Tuesday accused PM Modi of destroying India's image and scaring away investors, and urged the youth to not let their voice be suppressed.

Addressing the 'Yuva Aakrosh' rally in Jaipur, Rahul, however, refrained from speaking directly against CAA, but lashed out at the Modi government for failing to generate jobs for the youth. Coming down heavily on the Modi government's promise of creating 2 crore jobs every year, he claimed that 1-crore people had lost their jobs the past year alone. ""Where are the 12 crore jobs of six years,"" he asked.

""Modi gives long speeches on CAA, NRC and NPR but prefers to remain silent on unemployment,"" he said. ""The growth rate during UPA's tenure stood at 9%, which has now fallen to below 5%, according to the new parameters for calculating GDP (gross domestic product). If we calculate it as per the earlier parameters, it will be around 2.5%,"" he added.

Urging the youth not to let their voices be suppressed, the former Congress chief encouraged them to ask questions on employment and the country's future. Rahul said India was known as a country of peace and harmony, often cited as a contrast to Pakistan. But the image is now tarnished and businessmen are wary of investing, he claimed.

""PM Modi has destroyed India's reputation in the world. Today, India is known as the rape capital, but Modi does not talk about this,"" he said.. When the youth raise questions over unemployment and ask Modi why he ""destroyed"" India's image, they ""are answered with bullets and are suppressed"", Rahul remarked.

The growth rate during UPA's tenure stood at 9%, which has now fallen to below 5%, according to the new parameters for calculating GDP.",,,
