Sr No,Event,Article ,Headline,Publisher,Label
1,Article 370,"Jammu and Kashmir has been a theatre of muscular Hindutva nationalism, in the early decades in script and since 2014 in performance. Adopting a highly militarist approach to separatism, and shunning political process entirely since 2014, the BJP has now delivered on a promise it has long made, by abrogating the special status that Jammu and Kashmir had enjoyed in the Constitution through a combination of executive and parliamentary measures. Additionally, the State is being downgraded and divided into two Union Territories. The mechanism that the government used to railroad its rigid ideological position on Jammu and Kashmir through the Rajya Sabha was both hasty and stealthy. This move will strain India?s social fabric not only in its impact on Jammu and Kashmir but also in the portents it holds for federalism, parliamentary democracy and diversity. The BJP-led government has undermined parliamentary authority in multiple ways since 2014, but the passing of legislation as far-reaching as dismembering a State without prior consultations has set a new low. The founding fathers of the Republic favoured a strong Centre, but they were also prudent in seeking the route of persuasion and accommodation towards linguistic and religious minorities in the interest of national integration. The centralising tendencies increased in the following decades, but Hindu nationalists always argued for stronger unitary provisions and viewed all particular aspirations with suspicion. For them, Jammu and Kashmir?s special constitutional status was an impediment, not an instrument, for the region?s integration with the rest of the country.
 
The entire exercise of getting Article 370 of the Constitution effectively abrogated has been marked by executive excess. The first step was to declare by a presidential decree that the ?Governor? ? without regard to the fact that he has no Council of Ministers now to aid and advise him ? can speak for the State government and give his concurrence to any modification in the way the Constitution of India applies to Jammu and Kashmir. Second, on the basis of this ?concurrence?, the latest Presidential Order scraps the previous one of 1954, abrogating the separate Constitution of Jammu and Kashmir. Third, the fact that the State is under President?s Rule has been used to usher in a new dispensation under which Jammu and Kashmir becomes a Union Territory with a legislature and Ladakh another such territory without a legislature. In sum, a purported process to change the constitutional status of a sensitive border State has been achieved without any legislative input or representative contribution from its people. The bifurcation of States in the past cannot be cited as a binding precedent as, under Article 3 of the Constitution, the President seeks the views of the legislature of the States concerned, even if concurrence is not mandatory. In the present scenario, J&K has been represented by an unelected Governor appointed by the Centre, while Parliament has ventured to ratify the conversion of a State into two Union Territories without any recommendation from the State.

If there is a legal challenge to these measures, it would centre around whether such far-reaching steps could be achieved in the absence of a representative government by assuming that its gubernatorial administrator is constitutionally capable of using his consent as that of the entire State. Further, there is a self-enabling aspect to the Presidential Order. It performs a hop-step-and-jump feat. It hops over the requirement of the State government?s consent by declaring that the Governor is the State government. It steps over the need for aid and advice by the ministerial council by saying the Governor?s opinion is enough. And it jumps over the fact that there is no constituent assembly now by merely reading the term as ?legislative assembly?, and letting Parliament perform the role of the State legislature. Thus the President?s power under Article 370 has been used both to create an enabling provision and to exercise it immediately to modify the Order, thereby dispensing with the role envisaged for the State Assembly. While it is true that in 1961 the Supreme Court upheld the President?s power to ?modify? the constitutional provisions in applying them to J&K, it is a moot question whether this can be invoked to make such a radical change: a functioning State has now been downgraded and bifurcated into two Union Territories. It is inconceivable that any State legislature would ever have recommended its own demotion in status.


True, the special status of J&K was meant to end, but only with the concurrence of its people. The Centre?s abrupt move disenfranchised them on a matter that directly affected their life and sentiments. Moreover, that this was done after a massive military build-up and the house arrest of senior political leaders, and the communications shutdown reveals a cynical disregard of democratic norms. It appears that the current government values J&K for its demonstrative impact before the rest of the country, as a place where a strong nation and its strong leader show uncompromising political will. But that may have other unintended consequences. Geographically and metaphorically, Jammu and Kashmir is the crown of secular India ? a Muslim majority region in a Hindu majority country. Its people and leaders had chosen secular India over Islamic Pakistan, a fact that Islamists never reconciled with. The BJP?s adventurous route also has as backdrop an impending U.S. withdrawal from Afghanistan that will trigger an unforeseeable churn in Islamist politics in the region. Islamists have always viewed Kashmir as a component of their global grievances. Whatever its intent in enabling the full integration of Jammu and Kashmir with India, Monday?s decision to alter the State?s status could have unintended and dangerous consequences.",Scrapping J&K's special status is the wrong way to an end,The Hindu,UPA
2,Article 370,"In a momentous decision, government moved Parliament yesterday to abate Article 370 of the Constitution and supersede Article 35A, thereby effectively ceasing the special status for Jammu & Kashmir. Simultaneously, Union home minister Amit Shah introduced the Jammu and Kashmir Reorganisation Bill to bifurcate the state and create two separate Union territories ? Jammu & Kashmir with a legislature, and Ladakh without a legislature. This means that the Constitution of India shall now apply in full force across J&K and Ladakh, and the J&K legislature will henceforth not have any discretionary powers to decide who permanent residents of the territory are or provide them with special rights with respect to employment and acquisition of property.
Abrogating Article 370 has been a long-held wish of BJP which sees the provision as a historical wrong. However, the complicated history of Kashmir and the sensitivity surrounding the matter had hitherto prevented such a move. But with the current BJP government projecting muscular nationalism and enjoying significant numerical strength in Parliament, cessation of Article 370 became more doable. Given that abrogating Article 370 was part of the BJP manifesto, on the basis of which it swept Lok Sabha polls, the government has the mandate to do this. That non-NDA parties like BSP, AAP, YSRCP, BJD and AIADMK too have come out in support of the government?s move shows which way the winds are blowing.
Arguably, Article 370 had contributed to the problems in Kashmir. The state?s special powers of autonomy meant in practice arrogation of power by a tiny Valley elite, which led to a feeling of not being represented among the people of Jammu and Ladakh, as well as disaffection feeding into separatist sentiment in the Valley itself. And given that Kashmir came to be a troubled state with separatist sentiments being stoked by Pakistan with the help of cross-border terrorism, this may have been the worst of both worlds. Besides, Article 370 was meant to be a temporary provision. In that sense its cessation now is congruent with historical constitutional perspective.
That said, there are some issues with the way in which Article 370 is being nullified and the state bifurcated. Even according to the constitutional provision to abate Article 370, consultation with the J&K state assembly is deemed necessary before a constitutional order to this effect is passed. The government, however, has chosen to use the fact that there is no J&K government at the moment and substituted the latter with the J&K governor. While this approach may or may not be legally valid, it certainly bypasses wider discussion on the matter that would have been democratically sound.
Second, the logic behind converting the state into two Union territories is also not plain. True, there has been a demand for Union territory status in Ladakh for some time. But with the cessation of Article 370, the special powers accruing to the J&K assembly in Srinagar would also extinguish. Thus, it is debatable if bifurcation of the state and creation of the Union territory of Ladakh was necessary after that.
In fact, this would be the first time in the history of India that a state was being converted into Union territories ? the trend has been the other way around. Hence, given the magnitude of the decision, more all-round discussion would have been prudent. But perhaps government?s decision to push ahead with its Article 370 move was linked to external factors. With the US looking to wind down its military engagement in Afghanistan and turning to Pakistan to facilitate a peace deal with Afghan Taliban, Islamabad has been upping the ante on Kashmir.
New Delhi perhaps felt that Islamabad was gaining too much leverage in the emerging regional scenario and had to do something to counter this. Whatever the compulsions, even if Article 370 is abrogated New Delhi will have to ? sooner rather than later ? grant full statehood rights to Jammu & Kashmir and perhaps Ladakh too, for the sake of democratic governance as well as the federal principles in which India is grounded.","Changing the game in Kashmir: In nullifying Article 370 and bifurcating state, government has redrawn strategic calculus",The times of India,Neutral
3,Article 370,"India?s shock decision this week to revoke the autonomy of its restive state of Jammu and Kashmir is a crucial test for Prime Minister Narendra Modi. Without a change of course, he?s likely to fail.

Kashmir is arguably the worst legacy of the fratricidal partition of British India in 1947. One of more than 500 princely states in the subcontinent at the time, its Hindu ruler cast his lot with India after tribal fighters from Pakistan attempted his overthrow. The two nations have since fought three wars over the overwhelmingly Muslim territory. India controls the bulk of the state; Pakistan administers about a third and China claims a portion of its Himalayan plateau.


How India treats its portion of Kashmir matters for two reasons. One is that the state is the primary flashpoint for the world?s most dangerous nuclear rivalry; terrorist attacks there have repeatedly brought India and Pakistan to the brink of hostilities. It?s also the lone Muslim-majority state within Hindu-majority India, and thus an essential test of the country?s diversity and tolerance.

Given these sensitivities, Modi?s government might?ve approached the matter with discretion. Quite the opposite. With no warning, it revoked Article 370 of the Constitution of India, which granted Kashmir a degree of autonomy, while breaking up the state into two ?union territories? largely controlled from New Delhi. Authorities placed hundreds of local leaders under house arrest, dispatched thousands of troops to the already heavily militarized state, evacuated tourists, imposed a curfew, and cut off communications links. The parliamentary maneuvers the government used to ram through its decision were so dubious they?ve already landed before the Supreme Court.


All this hardly needed doing: Most of the special privileges afforded to the state on paper had long been whittled away in practice. Nor is anyone challenging the unique rights enjoyed by some other states in India. The clear implication is that Modi?s Hindu nationalist Bharatiya Janata Party was intent on eliminating rather than celebrating a Muslim-majority state.


Changing Kashmir?s status won?t do anything to ease tensions with Pakistan. To the contrary, it will further empower the Pakistani military, long the main roadblock to peace on the subcontinent. India desperately needs a real strategy to engage with Pakistan, commercially as well as diplomatically. Instead Modi?s government seems convinced it can continue to ignore, isolate and deter its rival. One result is that trade between the two countries has now broken down entirely.

Perhaps most galling, though, is that Modi neglected to bring on board those Indians with the greatest stake in his decision: Kashmiris. BJP officials insist that closer integration will improve the lives of Kashmiris by opening the floodgates to jobs and investment, but this is questionable. (Private investment in India hit a 14-year low earlier this year, while unemployment stands at a 45-year high.) In any case, a sudden influx of outside businesses would fuel paranoia and resentment among locals, as it has wherever else such policies have been tried.

The issue India ultimately needs to address in Kashmir isn?t a lack of jobs, or even Pakistan-sponsored terrorism. It?s the lack of agency felt by too many Kashmiris, exacerbated by a suffocating security presence they view as an occupation. Forcibly imposing the central government?s will over the state will only intensify those grievances.

Democracies as large and heterogeneous as India cannot escape internal tensions. But the way to relieve such pressure is to decentralize power and give citizens a greater stake in their governance, as well as more control over local resources.

Modi?s government is heading in the opposite direction in Kashmir. Until India finds some way to make Kashmiris feel like full citizens, in control of their lives and their destinies, their land will remain what it has been for far too long: a troubled place, and a threat to peace and prosperity.",India Is Making a Mistake in Kashmir,Bloomberg,UPA
4,Article 370,"The reading down of Article 370, which granted limited autonomy to the state of Jammu and Kashmir (Kashmir hereafter), by the Indian parliament on August 5, 2019, has evoked strong reactions from the supporters and the opponents of this move.  

Those in favour of repealing Article 370 have often argued that its revocation is consistent with the principles of Indian federalism (albeit in more crude terms).

They contend that while state governments may exist and deal specifically with local issues, ultimately, the federal government should reign supreme.

Following this line of reasoning, Kashmir?s special status under the constitution is an affront to the founding principles of India. To constrain the Union government?s powers to make legislation affecting Kashmiris is to elevate Kashmir?s status above all other Indian states. And that is something India?s ruling party and its supporters simply cannot abide.  

These notions certainly seem to be forthcoming in Indian Home Minister Amit Shah?s position on the special status of Kashmir. In a speech made to Parliament, he asserted ?This treaty (Instrument of Accession) was not only made with Jammu-Kashmir, it was made with the 630 princely states of the nation. The treaty was made with 630 princely states, and 370 was not there.?

The claim that Kashmir?s instrument of accession (IOA) was functionally no different to those signed by other princely states is incredibly disingenuous.

By signing the IOA, the princely states ceded power to the dominion of India regarding defence, external affairs and communications. If the process of integration had stopped there, India would have remained a loose federation of autonomous states.

The India we know today was formed through a series of merger agreements signed by the heads of princely states, which incorporated their polities into the Union of India. These merger agreements were often signed under duress with limited reference to the interests of the people they were affecting. Regardless, however, they can be perceived to have been accepted and entrenched by the acquiescence of subsequent generations residing in the state. 

A faulty argument

Kashmir is different from other princely states because it never signed a merger agreement fully accepting the constitution of India. Instead, it explicitly negotiated autonomy which was entrenched in the Indian constitution through Article 370.

The provision allowed Kashmir to have a parallel constitution, ensuring that the provisions of Indian constitution were effective in Kashmir only with the concurrence of the Kashmir assembly ?  representative body of the state.

In light of this, to claim Kashmir?s treaty was the same as that signed by 630 other states is to reduce the complex process of integration to one document. Integration was a multi-stage process that required negotiation with various princely states and unions. It cannot be condensed into a single procedure, as the BJP would have the world believe. 

One justification for the reading down of Article 370 offered by the ruling BJP and its supporters is that it would accelerate the economic development of the state. Dubious as this argument is, even if one were to take it seriously, it would call for convincing the people of Kashmir, or their elected representatives, to vote for a complete integration with India.

There is a precedent for it. The state of Sikkim signed a treaty with India in 1950, which limited the role of India to defence, external affairs and communication, similar to the IOA signed with princely states. It was only in 1975 that Sikkim was fully integrated with India after its assembly passed a resolution to this effect and was ratified by a statewide referendum. That is the democratic way!

Ultimately, however, Modi?s government seems unconcerned with historical realities in its path to reading down Kashmir?s constitutional protections. In light of this, pointing to the inaccuracies in the way Kashmir?s IOA and Article 370 are construed are unlikely to alter the position of BJP supporters and their ilk. 

What hope then is left for those in favour of upholding Kashmir?s constitutional status?


A woman weeps inside her house after her household goods were allegedly damaged by security forces following clashes between protesters and the forces in Srinagar, August 17, 2019. Photo: Reuters/Danish Ismail

One option would be to seek a remedy under international law. This would involve making appeals to an international community that is often reticent to intervene in state matters, particularly when questions of ?territorial integrity? and sovereignty are raised.

Additionally, even if the international law could provide a resolution, its primary body, the International Court of Justice relies on the consent of the involved parties to hear matters. That nationalistic vigour with which the BJP has promoted its position on Kashmir makes it seem incredibly unlikely that it would now surrender itself to international law.  

The Supreme Court

Perhaps a more realistic prospect is a favourable ruling from the Supreme Court of India. The question of whether Article 370 is indefinitely entrenched in the Indian constitution has been a vexing one for Indian courts. The article provides that it may only be repealed in conjunction with the assent of Kashmir?s constituent assembly. That body was dissolved in 1957 and made no recommendations regarding an amendment to Article 370.


This poses a challenging issue for Indian courts as to whether the requirement for assent from the constituent assembly is a dead letter. Lower courts in India have posited that the requirement continues to operate, with Kashmir?s state government now taking the place of the constituent assembly. Some, perhaps more ambitiously, have posited that following the dissolution of the constituent assembly, Article 370 has an eternal effect.

In any case, treating the assent of the governor of the state, a representative of the centre, as tantamount to the assent of Kashmiris or their representatives, which is what the current process of abrogation of article 370 has done, would make a mockery of the notion of federalism. 

If the Supreme Court rejects these views and upholds the unilateral reading down of Article 370, an intriguing paradox comes into play for the BJP. Kashmir?s IOA, which had been entrenched in Article 370(b)(i), would be successfully dislodged from the Indian constitution.

This would relegate the IOA?s legitimacy in the domestic sphere and significantly alter the constitutional protections on Kashmiri autonomy.

Problematically though, the IOA is the very nexus of India?s claims over Kashmir, which it often reverts to in disputes with Pakistan. It is the legal validation of Kashmir?s status as de jure Indian territory.

Declaring the instrument meaningless would betray the inconsistencies of India?s position over Kashmir. It would involve undermining the very document which India relies on as a source of its authority before the international community. 

The aforementioned situation creates a paradox, which calls for immediate explanation. It seems that Modi is faced with a perplexing choice. He may either relentlessly dismiss the rights of Kashmiris or maintain India?s legitimacy in the global sphere. ",Article 370 and The Paradox of Kashmir?s Accession,The Wire,UPA
5,Article 370,"The NDA government?s decision to abrogate the special status to Jammu and Kashmir under Article 370 fulfills a nearly 70-year-old project of Hindutva parties, their promise that they would one day make the ?integration? of J&K with the Union of India a reality. The Constitution (Application to Jammu & Kashmir) Order 2019 supersedes the 1954 order, which included Article 35 A, and defined the state?s special status. Article 35 A has ceased to exist. Although Article 370 remains, it?s effectively dead. The government has simultaneously proposed the bifurcation of the state through the Jammu & Kashmir State Reorganisation Bill 2019, under which it will become two Union Territories, one comprising Ladakh without a legislature, another comprising Jammu & Kashmir, with a legislature.

But the special status guaranteed to Jammu and Kashmir was not a partisan or personal decision of the founding fathers of the Indian republic. It was based in the imperative of nation-building. It was a recognition of the role a Muslim majority state ? its unique demography protected by the Constitution ? would play in belying the claims on which Partition had taken place, and in strengthening the secular ?idea of India?. The developments of August 5, 2019, are in no small measure about rewriting history, changing that very demography, and bringing in a new idea of India, with the stamp of Narendra Modi firmly on it. The changes are no less than historic, they draw an audacious red line over and across the Nehruvian idea of India.

But what is this new idea of India, and how will it be given shape? What will also go down in history is the manner in which the momentous change in J&K?s status has been brought about. There is no parallel in the history of independent India for the secrecy and stealth deployed by the government to bring in something that is politically and communally contentious. To do this at a time when Parliament is in session, to present it as a virtual fait accompli to the House, may be the BJP?s way of doing business, as it believes it has the mandate. But it goes against every democratic convention and norm.

Curiously, government officials put out the red herring of a purported terror plot emanating from Pakistan to justify the induction of additional troops in the Valley and cancellation of the Amarnath Yatra. As it has turned out, these were law and order measures in anticipation of a backlash to the government?s real plans. For the first time since the 1953 arrest of Sheikh Abdullah, the government placed two former chief ministers, both leaders of mainstream political parties, under arrest.

The promise of resolving the Kashmir issue through partnership and dialogue with Kashmiris, articulated by a BJP prime minister, Atal Bihari Vajpayee, and carried forward by a Congress prime minister, Manmohan Singh, was implicit in the PDP-BJP alliance of 2015-2018. It failed, yet as recently as last year, Prime Minister Modi invoked Vajpayee?s ?insaaniyat, jahmuriyat, Kashmiriyat? credo for resolution in Kashmir. It now seems that he and his trusted lieutenant believe that the people of Kashmir need not be consulted at all about their political fate, and that the use of force can overcome their opposition.

Now that the die has been cast, how the government proposes to carry this forward from here, how it will deal with the legal and political fallout and the reactions in the Valley, will decide many things for India. If the unkept promise of autonomy in Article 370 was the genesis of the Kashmir problem, the government has significantly departed from that, not just by its definitive move to scrap the constitutional guarantee of that autonomy but by demoting the state into truncated union territories that will now be governed directly by the Union home ministry through an all powerful Lt. Governor, working with an emasculated legislature.

Regional parties, such as AIADMK and TRS, that have supported the government?s move, might do well to ask themselves what they would do if the Centre decided that Tamil Nadu, with a traditionally strong regional ethos, be carved up into union territories. But the challenge for the Opposition is also more than a distant thought experiment. It is real and it is already here: A BJP that is bringing its ?core issues? ? for long relegated to the backburner ? to centrestage. A BJP with a mandate that will have its way, few questions asked.

It cannot be the government?s intention to keep voices in the Valley suppressed forever. For starters, it must release Omar Abdullah, Mehbooba Mufti and Sajjad Lone, leaders with a following in the Valley and in Jammu too. It must remove restrictions on movement in the Valley, allow telecommunications to be restarted. It must demonstrate that its political confidence to do what it has done in Kashmir does not flow out of the barrel of a gun or a numerical majority alone. There will be other challenges, such as the changing dynamics in the region, especially the deal with Pakistan?s help, in Afghanistan between the US and Taliban. This is hard work in progress even though the deed has been done.","Rupture in history, stitching a future",The Indian Express,NDA
6,Article 370,"The narrative around Article 370 has largely been premised on the argument that it was meant to be a ?temporary provision?. This argument draws its basis from the Marginal Note to Article 370, which contain the words ?temporary provisions with respect to the State of Jammu and Kashmir?. However, we must remember the place of Marginal Notes in interpreting a statute.  

English courts were cautious in using Marginal Notes. On different occasions, they have referred to them as a ?most unsure guide to construction? and a ?poor guide to the scope of a section?, further stating that ?rarely it might throw some light to the intentions of the Parliament? etc.

The Indian Supreme Court too, [for a long time], followed the same approach and refrained from employing Marginal Notes to interpret a statute. The Supreme Court, while interpreting an Article of the Constitution, referred to the Marginal Note, only to get a prima facie clue to the purpose of the Article, and in case of a conflict between the Marginal Note and the main provision, the Marginal Note gives way to the main provision. The approach of the Government to except, modify or amend Article 370 seems to be influenced by the Marginal Note to the Article.  

Article 370(3) gives the power to the President of India to declare that the Article has ceased to be operative and is a dead letter of the Constitution. Noticeably, Article 370(3) has a strong ?proviso?. One of the functions of a ?proviso? in an enactment, as stated by the Supreme Court, is to ?entirely change the very concept of the intendment of the enactment by insisting on certain mandatory conditions to be fulfilled in order to make the enactment workable?.

The proviso to Article 370(3), which states that the President ?shall? obtain recommendation of the Constituent Assembly before making such declaration, clearly imposes the mandatory condition on the President of obtaining the recommendation of the Constituent Assembly of Jammu and Kashmir before the power to cause Article 370 to be inoperative is exercised. . The Constituent Assembly of J&K, which was constituted by a proclamation of the Maharaja of Jammu & Kashmir in 1951, was dissolved in 1957 and  presently there is no Constituent Assembly.  

After the dissolution of the Constituent Assembly, Article 370 ceased to be a ?temporary provision? not amenable to modification and exception through a Presidential Order. This contention is best understood, if one reads the article without reading the Marginal note, for the body of the provision does not at all use the word ?temporary?.

The Constitution Order, 2019 (C.O.272)
The BJP obviously has been reading the Marginal Note of Article 370 with greater emphasis and the main provision with greater disdain and lesser care. The recent developments are an actualization of the longstanding agenda of the BJP, reflected consistently in its election manifestos ? including the 2019 one ? which stated ??We reiterate our position since the time of the Jan Sangh to the abrogation of Article 370. We are committed to annulling Article 35A of the Constitution of India as the provision is discriminatory against non-permanent residents and women of Jammu and Kashmir??.

In order to annul Article 35A, a suitable order had to be passed under Article 370(1) and to abrogate Article 370, the President needed to make a declaration under Article 370(3), which he could not achieve without the recommendation of the Constituent Assembly, which no longer exists. The Supreme Court has, on several occasions, returned a finding that Article 370 has become a permanent provision for this very same reason, i.e. it cannot be abrogated anymore as the Constituent Assembly, whose recommendation is a requirement for abrogation, has ceased to exist.

The government of the day has achieved its objective through means that would elicit disapproval from constitutional purists. By the Constitutional Order 272, the Government has superseded the Constitution (Application to Jammu and Kashmir) Order, 1954 ? under which Article 35A was inserted ? and additionally, has given a fatal blow to Article 370, by replacing the expression ""Constituent Assembly? with ?legislative assembly? in order to bring about its abrogation,.  

Assault on Federalism
The position of Jammu and Kashmir is unique ? both within the Union of India and also in the Indian Constitution. Jammu and Kashmir was a princely state that acceded to the Union under special circumstances.

Gopalaswami Iyengar, while moving the draft provision (Article 306A, which was renumbered as Article 370) before the constituent assembly, spelt out those special circumstances. While elucidating the case for special treatment under the constitution, he emphasized that the Government of India had committed that the will of the people of Jammu and Kashmir ? expressed through its constituent assembly ? would determine the sphere of jurisdiction of the Union over the state.

In the Jammu and Kashmir Constituent Assembly, Sheikh Abdullah cautioned ?that any suggestion of altering arbitrarily the basis of our relationship with India would constitute a breach of the spirit and the letter of the Constitution??.

Article 370, therefore, stands like a constitutional guarantee setting out the terms under which the princely state came to join the Union. Jammu and Kashmir, as a federating unit of the Union of India, joined the Union under the promise recognised by the constituent assembly of India and crystalized by the Constitution of India under Article 370. Altering those promises and modifying the special relationship in the manner that has been done under the constitutional orders is an assault on this particular federal relationship. The Supreme Court of India has recognized federalism as the basic structure of the constitution and the abrogation of Article 370 is destructive of federalism and therefore an assault on the basic structure of the Indian constitution.

Another agenda of the BJP is to ensure the construction of Ram Mandir at Ayodhaya and its members often refer to the creation of Ram Rajya in India. The BJP may like to be reminded that one of the inviolable principles of Ram Rajya is ?Raghu kul reet sada chali aaee, prana jayee par vachan na jaaee? (It is the tradition of Raghu?s dynasty, to which Lord Ram belonged, that a promise given is to be honoured, even at the cost of life).  

The abrogation of Article 370 is letting go of the promise that the framers of the constitution had made to the people of Jammu and Kashmir.
",An act that has put J&K on edge: This repeal will disappoint constitutional purists,Deccan Chronicle,UPA
7,Article 370,"The contentious Article 370 is part of the history now. In a predictable move after days of troop buildup in the Kashmir valley, the Modi Government on Monday scrapped Article 370 to do away with Jammu & Kashmir?s special status and also proposed the bifurcation of the State into two union territories, Jammu & Kashmir, and Ladakh.

By doing so, the BJP-led dispensation hopes to fulfill its poll promise and deal with a protracted militancy movement that has been ravaging the State for past three decades.

Union Home Minister Amit Shah announced the decision in the Rajya Sabha, which approved the resolution and the Jammu & Kashmir Reorganisation Bill. Both will now come up in the Lok Sabha on Tuesday.

The Government?s effort to tackle head-on the vexatious 72-year-old problem wracking the soul of the nation sent a wave of jubilation among BJP supporters and others, but provoked outrage from the National Conference and the PDP, the principal political parties in Jammu & Kashmir.

According to the resolution moved by the Home Minister, Article 370 ceases to be operative from Monday itself. ?The President on the recommendation of Parliament is pleased to declare as from 5th of August 2019, all clauses of the said Article 370 shall cease to be operative...,? the resolution stated.

Shah also moved a Bill proposing bifurcation of J&K into two union territories ? Jammu & Kashmir and Ladakh. The union territory in Ladakh will have no legislature like Chandigarh. The other union territory of Jammu & Kashmir will have a legislature like Delhi and Puducherry, where key subjects like law and order are with the Centre.

Shah said full statehood will be restored to Jammu & Kashmir at ?appropriate time? and after ?normalcy? returns. The Government will not allow the situation to turn into another battle torn Kosovo, he said.

The Government hopes that abrogation of Article 370 that accorded special status to Jammu & Kashmir and the consequential end of Article 35A that defines the permanent residents of the State will help in the integration of the erstwhile J&K State into the Union of India like any other state or union territories and cease special rights enjoyed by its citizens on land, business and employment.

As the Government moved a Bill to convert J&K into a union territory with an Assembly and a Lieutenant Governor and thereby the Centre wielding major power over it, the State has ?lost? its privileged status like Assembly enjoying six-year tenure, outsiders not allowed to buy land and Kashmiri women marrying outside forfeiting their rights over land in Kashmir. 

Twenty four seats which fall in the Pakistan-occupied Kashmir (PoK) shall remain vacant in new Assembly of J&K union territory.

Abrogation of Article 370 and Article 35-A would permit citizens outside Kashmir to move in, settle and start business in the new union territory of J&K, barring special restrictions imposed by its Government. The Union Government would now play a central role in controlling State police and land issues.

Lt Governor who will ?consult the Election Commission? will have final powers over deciding the disqualification of Assembly members in J&K. Its Assembly will not legislate on ?public order? and ?police?. Law of Parliament ?shall prevail? if a law made in State list in the seventh schedule to the Constitution ?is repugnant to any provision of law made by Parliament?.

Similarly, ?a Bill or amendment shall not be introduced in Legislative Assembly except on recommendation of the Lt Governor? on imposition, abolition, remission, alternation of any tax or relation to consolidated fund of India, seats for SC/STs would be reserved in J&K Assembly.

According to the Government, the abolition of Article 370 will ?completely integrate? the State with the Indian Union like other princely States in 1950 and its residents will enjoy equal rights like other citizens.

The large population of young Kashmiris, studying and working in other States of India will get the ?power and confidence? to be equal citizens of India, without they being categorised as a special citizen.

According to Government officials, the ease with which private and public investment will flow into both these new UTs will lead to much faster development of the economy, the development of high-quality educational institutions and the flow of a large corpus of funds to develop tourism in these underdeveloped regions, they said.

The Presidential order signed by the President of India has not scrapped Article 370. But invoking this very Article, special status of J&K has been withdrawn. Thus Article 370 is very much on the statute book, say constitutional and legal experts.

Some insignificant amendments have been made by this order such as substitution of term Constituent Assembly by the State by the Legislative Assembly of State and Sadar-e-Riyasat by the Governor of State.

Presidential Order has extended all the provisions of constitution to Kashmir.","J&K no more ?special?, Art 370 goes",The Pioneer,NDA
8,Article 370,"It?s been two months since the government decided to push through constitutional changes in Jammu and Kashmir (J&K) in Parliament. Article 370 was effectively abrogated; the state was bifurcated; and J&K and Ladakh, it was decided, would now become Union Territories (UTs). The constitutional changes ? and there is no doubt that the government had adequate mandate and legislative support for it ? were accompanied by a clampdown in the Valley. Communication links were snapped. Security mobilisation was ramped up. Political leaders, including those who had sworn by the Indian Constitution, were detained.


The government?s case was simple. It argued that restrictions were necessary to prevent violence, for ease of communication and mobility would give terrorists an advantage. This, to be fair, has proved effective, for compared to earlier protests, killings have been at a minimal. But this has come at a cost. Civil liberties and fundamental rights of citizens ? and Kashmiris are entitled to the same rights as all other Indians ? were compromised. Normal life was affected. And political mobilisation ? once again a key democratic right ? was curtailed.

It is time for a review. The government must now lift restrictions, without compromising security. It must release Kashmir?s mainstream leaders, of the National Conference, the Peoples Democratic Party, as well as other smaller forces which have participated in elections under the Indian constitutional framework. These leaders have spoken up for India in difficult of times. Terrorists have killed thousands of mainstream activists because of their pro-India stance. The continued detention of these leaders only strengthens the Valley?s radicals. Their release will benefit Delhi in two ways. For one, its ambition of bringing development to J&K cannot be fulfilled without local partners; elections in the UT would not have legitimacy without the participation of locally established forces; and democratic activity needs to find an outlet. And second, releasing leaders will allay apprehensions in the international community. The fact that the leading contender for the Democratic nomination in the US presidential race, Elizabeth Warren, has now expressed concern must caution Delhi that international attention is not fading. but growing. For India to fulfil domestic objectives, and win international support, Kashmir needs to open up.",Free Kashmir?s democrats ,The Hindustan Times,Neutral
9,Article 370,"A balm is usually administered after a bitter pill. The prime minister?s recent address to the nation, three days after the Bharatiya Janata Party-led Union government decided to do away with Jammu and Kashmir?s special status and statehood, is perhaps a case in point. In his speech ? a barely disguised attempt to mollify an aggrieved constituency ? Narendra Modi made a number of promises. The prime minister assured his audience, among other things, a gradual relaxation of prohibitory orders, an election that would, Mr Modi is certain, lead to a ?government by the people and of the people?, as well as the speedy implementation of development. All of these pledges sound reassuring. But there is a case to argue that the people in Kashmir as well as those concerned with the goings-on in that restive state would have been far more satisfied if Mr Modi ? a stickler for deadlines ? had spelt out a concrete time frame to implement his pledges. The absence of a timetable for the restoration of statehood is certain to inflict yet another blow to the morale of a people who have expressed their resentment, time and again, against what they claim are unilateral interventions from the Centre.

There is no doubt about the fact that the BJP?s move to do away with most of the provisions of Article 370 enjoys considerable public support. The rhetoric of triumphant nationalism advocated by the prime minister and his party has even forced segments in the Opposition to toe the BJP?s line on Kashmir. But Kashmir remains sceptical of the BJP?s promises and design. Mr Modi may be aware of this simmering discontent. That could explain why the prime minister in his speech chose not to refer to some telling anomalies. If, as Mr Modi claims, Article 370 had bred only ?separatism?, why is it that its abrogation has been met with such hostility in Kashmir itself? The anger in Kashmir ? communication links with the state remain tenuous for days now ? cannot be a testimony to the oneness that the BJP claims to have achieved. The trouble with Mr Modi?s party lies in its conflation of unity with unilateralism. This aggression is against the formative idea of India itself, a vision that championed the cause of accommodation and federalism. The key to the Kashmir problem lies in resurrecting the flickering spirit of democratic assimilation.",Kashmir: Swallowing a bitter pill,The Telegraph,NDA
10,Article 370,,,,
