Sr No,Event,Article ,Headline,Publisher,Label
79,,"HYDERABAD: Immediately after TRS swept the civic elections in Telangana on Saturday, chief minister K Chandrasekhar Rao told reporters at the party headquarters that his government would pass a resolution against the Citizenship (Amendment) Act (CAA) in the state assembly. This would make Telangana the fourth state to pass such a resolution after Kerala, Punjab and Rajasthan.

He also revived talk of a federal front and said both the Congress and BJP had failed the country.

""It may not happen immediately, but I believe that the front will form the next government at the Centre."" He added that he supported abrogation of Article 370 and opposed the CAA in the interest of the nation. TRS had voted against CAA in Parliament.

Stressing that CAA was ""100% a big mistake"", he said that he would mobilise support of like-minded regional party leaders and the 15-odd chief ministers, who are against CAA, and hold a conference in Hyderabad soon. ""If required a public meeting with 10 lakh people will be organized in the city,"" he added.

KCR also said that in his view, the Supreme Court should take up CAA suo moto and scrap it. ""I request the prime ministers to withdraw CAA as it is against the preamble of the Constitution,"" he said. ""The image of our country is at stake globally.""

""Instead of focussing on the important issues like recession, literacy and poverty, the government was raking up the Hindu-Muslim issue,"" he said. ""Is it good if you send Muslims out of the country? What happens if Hindus living in outside India are asked to leave? Besides, BJP is already losing one states after another. It lost Jharkhand recently and reports indicate that AAP may win Delhi,"" the chief minister said.

The TRS supremo blamed the Centre for the economic slowdown in the country. ""Economists have been expressing concern over the recession and millions of people have lost their jobs. The states too were suffering because of the economic slowdown.""

He added that the NDA government has not released Rs 34,000 crore to states towards GST relief and other devolution of funds. ""The state government is yet to release Rs 1,131 crore and another Rs 2,812 crore towards IGST. I will write a letter to the Prime Minister to release the amount apart from sending a delegation to New Delhi to build pressure on the Centre,"" the CM said.",,,
80,,"Police said it appears to be a case of murder due to monetary and property dispute and they are searching for both the accused. Three teams have been constituted to investigate the case.

Dr Nusratullah Warsi is the maternal uncle of Dr Kafeel Khan (in picture)

Gorakhpur:

The maternal uncle of Dr Kafeel Khan, who was recently arrested for allegedly making inflammatory statements during anti-Citizenship Law protests, was shot dead in front of his house at Uttar Pradesh's Gorakhpur, police said on Sunday.

Dr Nusratullah Warsi aka Dada, 55, a property dealer, was shot dead on Saturday night at around 10:45 pm and an FIR against two people was filed after a written complaint of his family. He was returning from his lawyer's house, a few metres away from his own, when a man shot him in his head, killing him on the spot.

Police said it appears to be a case of murder due to monetary and property dispute and they are searching for both the accused. Three teams have been constituted to investigate the case.

""On the written complaint of family members, case of murder against one Imammuddin and Anil Sonkar has been registered and police has initiated probe and is searching for both the accused. Police met the women in their house and is interrogating them,"" Circle Officer VP Singh said.

Dr Kafeel Khan, suspended doctor of Gorakhpur BRD Medical College, was last month arrested under charges of giving a provocative speech during a protest against the CAA and NRC at Aligarh Muslim University and was later charged with the National Security Act (NSA).

Dr Kafeel Khan had last month raised apprehension in a Mumbai court about being killed in an ""encounter"" by the Uttar Pradesh police after claiming that he had been ""falsely"" implicated in the case by them.

The paediatrician had come to the limelight in 2017 when a controversy broke out after the death of over 60 children in less than a week at the BRD Medical College in Gorakhpur in Uttar Pradesh, where he was posted.

Comments",,,
81,,"Prime Minister Narendra Modi on Tuesday said the government has brought the Citizenship Amendment Act to correct ""historical injustice"" and to fulfil the BJP's ""old promise"" to religious minorities living in neighbouring countries. Speaking at the Annual Prime Minister's National Cadet Corps (NCC) Rally 2020, Modi said the problem in Jammu and Kashmir persisted since Independence and some families and political parties kept issues in the region ""alive"", as a result of which terrorism thrived there. He said the present government has been trying to solve decades old problems plaguing the country.",,,
82,,"Ramlila Maidan: An AAP supporter at the oath ceremony of Arvind Kejriwal in New Delhi (AFP)

Arvind Kejriwal today thanked the people of Delhi for ensuring their ""son"" returns as Chief Minister of the national capital for a third time. After taking oath at the historic Ramlila Maidan today, Mr Kejriwal addressed thousands of people, who cheered for him as he started speaking.

""Your son has taken the oath of Chief Minister for a third time. This is not my win, this is your victory. This is the victory of every Delhi wala, every mother, every sister, every youth, every student, every family in Delhi,"" Mr Kejriwal said.

""In the last five years we have tried to work on how to ensure every family can become happier, give some relief in their lives, how to develop Delhi fast... In the next five years our effort on this will go on,"" he said.

""Everyone, call your villages and tell them 'our son has become Chief Minister, there is no need to worry',"" the Chief Minister said, drawing applause from the crowd.

The Aam Aadmi Party won 62 seats in the Delhi assembly election - a near repeat of its 2015 tally of 67 seats at the end of one of the most polarising campaigns in the backdrop of the anti-CAA (Citizenship Amendment Act) protests.

The national capital has a large population of people from all walks of life who have come from outside the city. Mr Kejriwal's message today that they should ""call home"" to tell their ""son"" is the Chief Minister is being seen as his acknowledgement of their support.

""Some people voted AAP, some voted for BJP, some for Congress, but when I took oath as Chief Minister, I am the Chief Minister of everyone, of AAP, BJP, Congress and other parties. I have never been biased against anyone, have never said 'I won't help you because you voted for BJP'. I will work for everyone. In areas in the city where the BJP is strong, I have put water pipes, improved roads,"" Mr Kejriwal said.

In 2015 too, Mr Kejriwal's oath-taking ceremony took place at the Ramlila Maidan. It was held on February 14, coinciding with Valentine's Day. In 2013 after his party's first poll victory, the swearing-in ceremony was again held at the same venue.

Comments",,,
83,,"Prime Minister says these decisions were necessary in national interest.

Despite international pressure, the government will continue to stand by its decision to revoke Article 370 in Jammu and Kashmir and introduce the Citizenship Amendment Act (CAA), Prime Minister Narendra Modi asserted on Sunday.

He said the country had ""awaited"" these decisions for many years. ""In national interest, these decisions were necessary,"" Mr. Modi said at an event in his parliamentary constituency Varanasi.

""Aur duniyabhar ke sare dawaabo ke bawajood, in faislo par hum kayam hai aur kayam rahenge [Despite the various international pressures, we stand by these decisions and will continue to stand by them,"" Mr. Modi said. The country was now taking decisions that were always left behind in the past, he added.

The Prime Minister's tough talk assumed significance in view of protests against the CAA in various parts of the country.

In Varanasi, Mr. Modi launched projects worth ƒ??1,250 crore. He unveiled the statue of Deendayal Upadhyay, which, at 63 feet, is the largest statue of the leader in the country, as per the government. The Prime Minister also dedicated to the nation the Pandit Deendayal Upadhyaya Memorial Centre.

Mr. Modi flagged off the third corporate train, Mahakaal Express, which links three Jyotirling pilgrim centres -- Varanasi, Ujjain and Omkareshwar.

Earlier in the day, Mr. Modi attended the closing ceremony of the centenary celebration of Jagadguru Vishwaradhya Gurukul at Jangamwadi Mutt and released the translated version of 'Shri Siddhant Shikhamani Granth' in 19 languages. He also launched the 'Shri Siddhant Shikhamani Granth' mobile app.

Citing certain key decisions of his government, Mr. Modi referred to the trust set up for the construction of the Ram temple in Ayodhya and said it would work ""rapidly.""

He said that after setting up of the trust, the work on the construction of 'Ram dham' would start fast and added that his government had also decided to transfer 67 acres of land to the trust.

He also inaugurated a 430-bed superspeciality government hospital.

Mr. Modi said that in the past few years, ƒ??25,000 crore worth developmental projects had either been completed or were going on at a fast pace in Varanasi.

Roadway, highway, waterway and railway had been given top priority by the government and the Purvanchal Expressway work was going on at fast speed in Uttar Pradesh.

The Prime Minister also laid emphasis on better connectivity of heritage and religious sites, saying tourism would be the main source of making the country a $5 trillion economy.",,,
84,,"GUWAHATI: A local court on Monday extended by four days the police remand of JNU student Sharjeel Imam who was arrested on charges of sedition and brought to the state last week.

Imam was brought to Assam from New Delhi on February 20 and produced in ourt which had initially sent him to four days' police remand, they said.

Upon the expiry of his police remand, he was on Monday produced before the Kamrup (Metro) Chief Judicial Magistrate.

The student, who came into the limelight during the ongoing protests at Shaheen Bagh against the Citizenship (Amendment) Act, was arrested from Bihar's Jehanabad on January 28 for allegedly making inflammatory speeches at the Jamia Millia Islamia University and in Aligarh.

Imam was slapped with a sedition case after his speeches went viral on social media wherein he was heard allegedly speaking about Assam's possible secession from the country in the wake of the CAA.

A case under the stringent Unlawful Activities (Prevention) Act (UAPA) has been registered against him in Assam.

On February 18, the Delhi Police had named Imam as an ""instigator"" in its charge sheet filed against 17 people in a case related to violence during protests against the CAA at New Friends Colony near Jamia Millia Islamia last year.

Meanwhile, Assam finance minister Himanta Biswa Sarma said the state government is keeping a tab on the developments related to Imam's interrogation.

On reports claiming that Imam had contact with AIUDF supremo Badruddin Ajmal for some years, Sarma told reporters, ""I have seen it in the media only.... If there is any connection found between them for unlawful activities, we will take necessary action.""",,,
85,,"Hyderabad: The NDA government has not defined whether the USD 5 trillion dollars economy it aims to achieve is real GDP or nominal, senior Congress leader P Chidambaram said on Saturday and claimed real GDP would not touch the figure at the current growth level by 2024 or 2025.

Chidambaram, who spoke on the Union Budget at a meeting organised by the party here, hit out at the government for allegedly proving to be incompetent in managing the economy. ""Firstly, the Modi government has still not defined whether 5 trillion dollars is real GDP or nominal.

Secondly, while Modi keeps on saying 2024, the economic survey, in the introduction, the goalpost has been shifted from 2024 to 2025. Be that as it may, at the current level of growth, real GDP will not touch 5 trillion dollars either by 2024 or 2025,"" the former Finance minister said.

Chidambaram was replying to a query on the government's ambitious target of USD 5 trillion economy. Interacting with the audience, he said the NDA government should not ""clutter"" the tax structure by seeking to introduce separate systems, one giving exemptions and other not.

Asked by a member of the audience whether there is a possibility of the government withdrawing various tax exemptions leading to the common man not having options to save money and tax, he felt that there was still confusion within the government on the matter.

""Even if all the income tax payers opt for the new system, the maximum benefit will be Rs 40,000 crore.What is Rs 40,000 crore when India's GDP is almost 2.7 trilllion dollars,"" he said. The impact would be so minimal that it won't make a big difference, he claimed.

Noting that the IT exemptions are savings, he said their withdrawal would lead to a decline in the savings habit which is not good for the country. ""More than anything else, I don't think the tax structure should be cluttered like this. You don't have anywhere a tax structure, system A, system B, system A for exemptions...Without exemptions.

I think it is cluttering up tax system. I would not have done it. The sooner they clarify what their intention is, the better,"" he said.

On the proposed disinvestment in LIC, he said there was no clarity whether the government would list or disinvest the insurance behemoth. ""Without clarity about whether they are listing or disinvesting. I cannot comment on it. But on LIC, unless they convince me why they want to disinvest, our present position is we are deeply suspicious of their motives to disinvest LIC,"" he said.

Chidambaram, who lashed out at the Union Budget for allegedly failing to lead the economy on the path of progress and job creation, alleged that the Modi government was like a helpless doctor who failed to diagnose the illness of a patient and treat him effectively.

""Altogether, the bottomline is we have a patient who is extremely ill. Doctor has proved himself incompetent. Diagnosis of the doctor is hopelessly wrong,"" he said.

People who diagnosed the illness correctly like Dr Arvind Subramanian, former Chief Economic Adviser, were allowed to go from the government, he said.""Not having diagnosed the illness of the patient, the doctor is helpless. The least the doctor can do is to say...I am sorry.

We made mistake, will Dr Manmohan Singh come and advise us,"" he said.

Asked whether it is true that the country spends one per cent GDP to keep 950,000 troops in Kashmir, he said there were more troops there than necessary. ""I think we are keeping many, many more troops in Kashmir than I would ever accept as necessary. I think it is wrong. We should thin out our troops deployment in Kashmir.

More than that, I think we should give back the freedom to the people of the Kashmir valley,"" Chidambaram said.

Slamming the Centre for invoking the Public Safety Act against former Jammu and Kashmir chief ministers Mehbooba Mufti and Omar Abdullah to keep them in detention for upto a further two years, he said ""there cannot be a greater outrage, a greater assault on liberty than what they have done.

I think all of us should collectively pray for that the freedom of the people of Kashmir, the 75 lakh people of Kashmir valley, is restored,"" he added.",,,
86,,"In some respite relief for the people of Delhi-NCR, the Uttar Pradesh Police on Friday reopened a key route that links Noida with Delhi's Kalindi Kunj.

To ease congestion due to protests at Shaheen Bagh, the UP Police reopened the road leading from Kalindi Kunj towards Faridabad. The stretch from Noida's Mahamaya flyover to Delhi and Faridabad has been reopened, sources in the UP Police said.

The Shaheen Bagh-Kalindi Kunj road in southeast Delhi has been blocked for over two months due to ongoing protests against CAA.

The stretch of Shaheen Bagh to Kalindi Kunj road which is about two to three kilometres has commercial centres housing shops and restaurants. The road ends at Atlanta Water Park. The Shaheen Bagh-Kalindi Kunj road is parallel to the Noida-Greater Noida Expressway which is used by a large number of commuters between Delhi and Noida.

Even as protesters claimed that the all the roads that are close to Shaheen Bagh-Kalindi Kunj road like the GD Birla road, Kalindi Kunj bridge, Amrapali Road, Okhla Barrage Road, Okhla Bird Sanctuary Road, Dadri main road and Noida-Greater Noida Expressway were open, the attention shifted to Kalindi Kunj-Shaheen Bagh stretch.

Advocate Amit Sahni had earlier approached the Delhi High Court seeking directions to the Delhi Police to ensure smooth traffic flow on the Kalindi Kunj-Shaheen Bagh stretch, which was blocked by anti-CAA protesters on December 15 last year.

Also read: Shaheen Bagh: Protest but don't block roads, SC tells protesters; appoints mediator

ALSO WATCH| Is BJP villianising Shaheen Bagh?",,,
87,,"BJP had written to Kolkata Police on February 20, 2020 seeking permission to hold a public meeting at Shahid Minar Grounds congratulating him for Citizenship Amendment Act (CAA).

Kolkata Police on Monday cleared path for senior Bhartiya Janta Party (BJP) leader and union Home Minister Amit Shah's public meeting on March 1, 2020 in Kolkata.

BJP had written to Kolkata Police on February 20, 2020 seeking permission to hold a public meeting at Shahid Minar Grounds congratulating him for Citizenship Amendment Act (CAA).

Earlier, they had written Army's Eastern Command seeking permission as the land belongs to Defence Ministry. While the Army had granted permission, Kolkata Police communicated to the organisers of the BJP on Monday that they can hold the rally.

However, the organisers need to comply with Calcutta High Court's order prohibiting use of microphones and holding rallies or meetings in residential areas which might disturb examinees appearing for board examinations during this period.

""Kolkata Police has granted us permission to hold the rally. There will be no problem for students who are appearing for board examinations as Shahid Minar grounds is far from any residential areas. We will hold the public meeting in a peaceful manner and ensure that that the court orders are complied with,"" said BJP leader Joy Prakash Majumdar.

BJP will be felicitating Shah for making way for Citizenship Amendment Act (CAA) in the Parliament.

This is second such visit of Union Home Minister Amit Shah after CAA was passed. On October 1, Shah held a meeting at Netaji Indoor Stadium in Kolkata in favour of the CAA.",,,
88,,"NEW DELHI: Arvind Kejriwal, engineer, civil servant and Delhi's man with a development agenda, is the David who slayed the mighty Goliath for the second time in five years.

The Kejriwal-led Aam Aadmi Party is poised to win 63 of Delhi's 70 seats, leaving the BJP with seven and decimating the Congress, overcoming the BJP's divisive campaign.

Nine years ago, Kejriwal slipped into the political frame behind Anna Hazare during the Lokpal movement in 2011 before quickly enlarging his canvas, first as a satyagrah activist and then as founder of the cleverly named Aam Aadmi Party that took on the might of the BJP to reclaim Delhi for a third time on Tuesday.

The name of his party as carefully chosen as his public persona perhaps, Delhi's 51-year-old chief minister is the embodiment of the everyday man but one who has tailored his politics and campaign in keeping with the times.

As he emerged on the victory stage to loud cheers from his AAP supporters and shouted ""Bharat Mata ki Jai"", ""Inquilab Zindabad"" and ""Vande Mataram"" before saying ""I love you"" to Delhiites, many remembered the earnest activist who went on a hunger strike for a Lokpal bill in 2011.

The year after, in 2012, he started his political party and emerged as a mascot of an alternative brand of politics - and the 'aam aadmi' politician with his muffler casually wrapped around his neck, and sometimes his head, oversized shirts and open toed sandals.

Though his ambitions to make the AAP a national party have not met with much success, the Delhi chief minister's hat is one that will stay -- for the next five years at least.

His effort to be seen as a direct challenger to Narendra Modi came a cropper in 2014 when he contested the Lok Sabha elections from Varanasi. He tried to make an electoral dent in Punjab and Goa in 2017 but that didn't work either. So Delhi it is for the moment.

In 2013, he became chief minister but only for 49 days, images of him sleeping in his utilitarian Wagon R while on 'dharna' for a Jan Lokpal (ombudsman) wrapped in a cotton quilt against the cold winter nights making the front pages.

Battling allegations of being autocratic and unyielding in his politics, Kejriwal resigned soon after, only to bide his time till 2015 when he scripted a stunning win to bag 67 of Delhi's 70 seats.

Earning the moniker 'mufflerman' for his fondness for the muffler, Kejriwal runs his party with the proverbial iron fist and has learnt to temper his aggression, say people close to him.

Notwithstanding the electoral triumph for BJP in the May Lok Sabha polls, the IIT graduate has managed to anchor a campaign that wooed all sections in the city.

He announced in the beginning of the campaign that he will run a positive campaign fought on the basis of his government's development work in the last five years.

His main poll planks were schemes such as free bus travel for women in DTC buses, free 200 units of electricity, installation of 1.4 lakh CCTV cameras and free 20,000 litres of water.

During the election campaign, Kejriwal attacked BJP on several occasions, asking who is their chief ministerial candidate.

He was careful, however, to not speak out too clearly on the anti-CAA protests in Shaheen Bagh, the centrepiece of the BJP's campaign.

He was called a ""terrorist"" by BJP leaders, but Kejriwal hit back saying voters could back the BJP if they thought so or opt for his party if they view him as a son of Delhi.

Born on August 16, 1968 in Hisar in Haryana to Gobind Ram Kejriwal and Gita Devi, Kejriwal is a man of simple tastes.

His family is always by his side.

Kejriwal, who lives with his parents, wife Sunita and two children, is often seen going out for a quiet meal or the occasional film. Both daughter Harshita and son Pulkit are IIT products.

On Tuesday, the self confessed film buff and fond husband told his cheering supporters from the victory dais that it was Sunita's birthday.

A strict vegetarian who prefers home-made food, Kejriwal is married to Sunita, who is also an Indian Revenue Service officer and his batchmate. He is known to be an ardent practitioner of Vipassana, and seldom misses his yoga and meditation sessions.

The Ramon Magsaysay award winner was part of Team Anna that also included India's first IPS officer and now Puducherry governor Kiran Bedi and lawyer Prashant Bhushan.

He was the civil society representative member of the committee constituted by the government to draft the Jan Lokpal bill, following the campaign for introduction of the anti-graft legislation.

Kejriwal did a degree in Mechanical Engineering graduate from IIT Kharagpur.

He joined Tata Steel in 1989 and, after working for three years, resigned in 1992 to take up the Union Public Service Commission examination which he cleared to become an IRS officer. He also worked with Mother Teresa's Missionaries of Charity in Kolkata.

Kejriwal worked with people in slums through an NGO called Parivartan he set up with his confidant Manish Sisodia.

His efforts towards the enactment of the RTI Act to empower the poorest citizens of India won him the Ramon Magsaysay Award for Emergent Leadership in 2006.

In February 2006, after resigning as joint commissioner in the Income Tax Department, he became a full-time activist and started another NGO, Public Cause Research Foundation, with his award money as a corpus fund.

Will this man with many accomplishments manage to break out of Delhi to extend his political reach to other parts of the country?

That's the challenge facing the AAP today.",,,
