Article,Label
"LUCKNOW: Even as the Opposition has been mounting attack on government over the amended citizenship law by calling it anti-Muslim, BJP has come up with a plan to use the legislation to consolidate its support base among Dalits in the state, considered a core vote bank of BSP.

Top BJP sources said the party has directed leaders and cadre to visit Dalit-dominated pockets and tell them that the citizenship law is in favour of SCs and STs who migrated to India after facing persecution in Pakistan, Bangladesh and Afghanistan.

BJP also plans to use the promulgation of the new citizenship law to win over educated youth ahead of elections for the 11 graduates' and teachers' constituency seats of the legislative council. Sources said the party seeks to neutralize the Opposition's allegations accusing BJP of bringing a law against Muslims, Dalits and poor.

The saffron party has roped in its Dalit cadres in the drive, days after PM Narendra Modi said that most of the persecuted minorities in Paksitan, Bangladesh and Afghanistan belonged to lower castes.

UP BJP general secretary and in charge of the SC/ST Morcha, Govind Narayan Shukla confirmed that SC cadres will be part of the ongoing Jan Jagran campaign to remove any apprehensions among Dalits about the citizenship law.

He said, ""The party has asked all its organisational wings to fan out across the state, essentially in violence-hit areas, for interactions.""

Some Dalits got swayed by the Opposition propaganda during anti-CAA protests, said another party leader. ""Dalits and poor need to be told separately that there is nothing against them in the law,"" he said.

UP BJP chief Swatantra Dev Singh and general secretary (organisation) Sunil Bansal will directly monitor the campaign through WhatsApp groups, said sources. Party functionaries have been asked to click photos of their meetings with different caste groups and upload them on the groups.",BJP
"JALANDHAR: While Punjab BJP cadre appear enthusiastic after their party managed to make the Shiromani Akali Dal (SAD) do an about-face in Delhi, a figure cited by party's state unit president Ashwani Sharma, in two meetings of with workers about missed calls from Punjab in support of the Citizenship (Amendment) Act (CAA), tells a different story.

Sources said during a meeting of BJP members in Chandigarh on Monday, Sharma had said there were just over 1 lakh missed calls on the mobile number given by the party to register support for the CAA.

On Wednesday, he is said to have reiterated the figure in a meeting in Amritsar as he asked party workers to pull up socks, saying that the number was too low as there were 30 lakh members of the party in Punjab.

When asked on Thursday about BJP's claims of huge growth in its membership in Punjab in light of such a low number of calls in support of CAA, Sharma claimed that he ""deliberately cited a low figure before the party workers"" to push them for working more aggressively on the issue. ""These are internal things of the party. I shall give the final number after this campaign will end. We never give exact figures when a campaign is on so that workers don't get complacent,"" he added.

Asked what is the actual number, he said, ""Real number is several times higher than what I said and we shall disclose it once the campaign is over.""

About the party's membership in Punjab, he insisted that there were total 30 lakh members of BJP in the state.

When BJP launched its membership drive through missed calls, the party leaders claimed that over 23 lakh members were registered. Asked how many of the 23 lakh members registered through missed calls could finally be verified, he said that the number was 18 lakh and the party even had their addresses. ""There were only 5-7 % who could not be verified. Now, our total membership the membership is touching 30 lakh,"" Sharma said. Punjab BJP membership in charge Dyal Singh Sodhi claimed that in the membership drive last year, 10 lakh new members were enrolled. ""Now total membership is above 30 lakh,"" he too insisted.",BJP
"Protestors opposing the Citizenship Amendment Act (CAA) and the National Register of Citizens (NRC) have often raised ""kagaz nahi dikhayenge"" (won't show papers) slogans in order to register their defiance to the Act.

Senior RSS functionary Ram Lal has predicted that the anti-Citizenship Amendment Act (CAA) protestors, who have often voiced their resistance to the Act by saying they will not show official documents to prove their identity, will be dealt a blow by the results of Delhi assembly polls, said a news agency report.

Ram Lal also urged voters to carry their official documents with them and keep in mind who can make Delhi the best capital city in the world, when they press the button on the voting machine. He made the comments after casting his vote in the capital on Saturday.

""My message to the voters is 'aaj apna kagaz jaroor lekar jayen. Kagaz jaroor dikhayen' (Take your document with you today and you must show your document, that's my appeal to you),"" Lal said.

Protestors opposing the Citizenship Amendment Act (CAA) and the National Register of Citizens (NRC) have often raised ""kagaz nahi dikhayenge"" (won't show papers) slogans in order to register their defiance to the Act.

Ram Lal said that Delhi will get a government that can coordinate with the Centre.

""Today, mentality of not showing documents will be defeated and,"" he said.

Another senior BJP leader Shyam Jaju, made a similar comment by claiming that those who were allegedly funding the anti-CAA stir Shaheen Bagh will be defeated in the polls along with their supporters.

""Aam Aadmi Party's Amanatullah Khan funded Shaheen Bagh and Delhi's Deputy CM supported it...They have done nothing to lift the blockade (at Shaheen Bagh),"" Jaju said, claimed PTI.

The voting in Delhi ended at 6 pm on Saturday and the counting of votes will take place on February 11, Tuesday.",None
"Addressing a rally at Badarpur Assembly constituency in the Capital, Uttar Pradesh Chief Minister Yogi Adityanath attacked the protests against the Citizenship (Amendment) Act and also talked about the efforts of the Modi government at the Centre.

Having arrived two hours late, Mr. Adityanath said: ""I would have been here at five o'clock. I had planned my programme accordingly but because of Shaheen Bagh...""

He then started speaking about the various efforts made by the Modi government such as the Ayushman Bharath Scheme, Swachh Bharat Mission and others.

He said the Kejriwal government did not allow various schemes of the Centre to be implemented in the Capital.

He said Arvind Kejriwal (Chief Minister) was trying to create tension in the city by supporting protesters in Shaheen Bagh. He also told the crowd: ""Do you want a BJP government or a government of people feeding Shaheen Bagh biryani?""

He dismissed the stirs as ""excuses"", saying that the protesters want the removal of Article 370 and triple talaq.

The protesters are against the win in the Ayodhya temple case, he added.

In relation to CAA, he said action has been taken against people protesting against the Act in Uttar Pradesh.

He said properties of protesters in his State were seized to recover the costs of public damage.

The Uttar Pradesh Chief Minister said after coming to power, he not only ensured safe passage to the devotees in Kanwar yatras but also ensured that the police did not disturb them during their programmes that include music and DJs.

""Whoever is attempting to attack the BJP, unhe boli se nahi, police ki goli se samjhaya jayega [They will not be taught through dialogue, but with police bullet].""",BJP
"HYDERABAD: Immediately after TRS swept the civic elections in Telangana on Saturday, chief minister K Chandrasekhar Rao told reporters at the party headquarters that his government would pass a resolution against the Citizenship (Amendment) Act (CAA) in the state assembly. This would make Telangana the fourth state to pass such a resolution after Kerala, Punjab and Rajasthan.

He also revived talk of a federal front and said both the Congress and BJP had failed the country.

""It may not happen immediately, but I believe that the front will form the next government at the Centre."" He added that he supported abrogation of Article 370 and opposed the CAA in the interest of the nation. TRS had voted against CAA in Parliament.

Stressing that CAA was ""100% a big mistake"", he said that he would mobilise support of like-minded regional party leaders and the 15-odd chief ministers, who are against CAA, and hold a conference in Hyderabad soon. ""If required a public meeting with 10 lakh people will be organized in the city,"" he added.

KCR also said that in his view, the Supreme Court should take up CAA suo moto and scrap it. ""I request the prime ministers to withdraw CAA as it is against the preamble of the Constitution,"" he said. ""The image of our country is at stake globally.""

""Instead of focussing on the important issues like recession, literacy and poverty, the government was raking up the Hindu-Muslim issue,"" he said. ""Is it good if you send Muslims out of the country? What happens if Hindus living in outside India are asked to leave? Besides, BJP is already losing one states after another. It lost Jharkhand recently and reports indicate that AAP may win Delhi,"" the chief minister said.

The TRS supremo blamed the Centre for the economic slowdown in the country. ""Economists have been expressing concern over the recession and millions of people have lost their jobs. The states too were suffering because of the economic slowdown.""

He added that the NDA government has not released Rs 34,000 crore to states towards GST relief and other devolution of funds. ""The state government is yet to release Rs 1,131 crore and another Rs 2,812 crore towards IGST. I will write a letter to the Prime Minister to release the amount apart from sending a delegation to New Delhi to build pressure on the Centre,"" the CM said.",BJP
"Prime Minister Narendra Modi on Tuesday said the government has brought the Citizenship Amendment Act to correct ""historical injustice"" and to fulfil the BJP's ""old promise"" to religious minorities living in neighbouring countries. Speaking at the Annual Prime Minister's National Cadet Corps (NCC) Rally 2020, Modi said the problem in Jammu and Kashmir persisted since Independence and some families and political parties kept issues in the region ""alive"", as a result of which terrorism thrived there. He said the present government has been trying to solve decades old problems plaguing the country.",None
"Clashes triggered on Sunday by pro- and anti-CAA protesters continued for the third day on Tuesday in northeast Delhi as the death toll mounted to 13. Most of the deaths were due to gunshot wounds, their families have told The Hindu.

Mobs carrying lathis roamed the streets of northeast Delhi, attacking shops and burning vehicles even as Delhi police PRO M.S. Randhawa claimed that the ""situation was under control"". Rioters also opened fire and threw stones at each other.

Read: Delhi violence live updates: Shoot at sight order issued in northeast Delhi

Late in the evening, curfew was imposed at Maujpur, Jaffarabad, Chandbagh and Karawal Nagar. Shoot at sight orders in parts of northeast Delhi were also issued. Also, police sources said the anti-CAA protest site in the troubled area had been ""cleared"".

Dr. Sunil Kumar, medical director of Guru Teg Bahadur (GTB) Hospital, said 57 persons had been admitted on Tuesday, taking the total brought there to 150. ""About 20 of the injured are in a serious condition. Many have sustained firearm injuries.""

Chief Minister Arvind Kejriwal met the victims at GTB Hospital and MAX Hospital and said the ""madness must end immediately"".

Earlier, Mr. Kejriwal met with Home Minister Amit Shah to discuss restoration of peace in the capital. ""The meeting with HM Amit Shah was positive and it was decided that all parties will rise above party politics and take steps to restore peace,"" he told reporters after the meeting. ""The police are doing their bit and the HM has assured that whatever force is needed will be provided when we told him about some MLAs saying the police deployment was less than adequate.""

Also Read: Delhi violence | CBSE exams put off in 86 centres in northeast Delhi

Head constable Rattan Lal, who died in the violence in Delhi on Monday, was laid to rest on Tuesday in the presence of senior officers, including Delhi Police Commissioner Amulya Patnaik. Lal's family, which received the body at the mortuary late in the afternoon, said he died of a gunshot injury.

The body was taken to Kingsway Camp, where the last rites were performed.

""He was ill on Monday. He had high fever. His wife asked him to take leave but he still went. What could he do also especially in this situation and when there are fewer officers,"" Lal's brother-in-law Deepak Bari said.

Mr. Bari said Lal's wife received a call around 4 p.m. that he had been injured and was in a serious condition. ""She then called us in Jaipur where we reside. We switched on the TV and news reports said he had died. We immediately left for Delhi,"" he said.

Five of the other dead have been identified as Mohammed Furkan, Shahid Khan, Nazim, Vinod and Rahul Solanki. Outside the mortuary of Guru Teg Bahadur Hospital, on Tuesday, families of deceased gathered to receive the bodies of their loved ones.

Hari Singh Solanki, Rahul's father, a resident of Dayalpur, said he called the police control room around 3 p.m. after he sensed tensions escalating in the area, but no one turned up. ""I called all the police officers whose numbers I had but no one turned up. My son died when he had gone to buy milk just around the corner. He was shot,"" he said.

""We took him to a nursing home nearby; they refused to treat him. We wanted to take him to GTB Hospital straight but the road was blocked due to clashes. We then took him to a government hospital but he was dead by then,"" the father said.

Shahid's brother Imran said he got married four months ago and his wife was pregnant. ""He is an autorickshaw driver and had gone to work in the morning. Around 4 p.m., we were informed that he had been shot. We found his body two hours later,"" he said.

He was a resident of New Mustafabad and native of Bulandshahr. Imran said their brother had got a WhatsApp message of the death in their village. ""He received his photos on WhatsApp and called me. We went looking for him but couldn't find him for two hours. We were informed that he was shot in Bhajanpura,"" he said.

Subsequently, the family was informed that he has been brought to a nursing home close to their residence. They then went there and brought the body. ""We kept his body in the street for an hour not knowing what to do. Elders in the area then suggested to take him to hospital for post mortem. He was shot in the chest,"" Mr. Imran said.

Vinod Kumar, resident of Brahmpuri, was stoned to death on Monday night, his family said. His son Monu said that the two had gone out to the street when stones were thrown at them. ""Nobody came to help us,"" said the son who also sustained injuries.

Mohammed Furkan's brother Mohammed Imran said that he looked for his brother in GTB Hospital's emergency ward for a while before he could finally find his body.",AAP
"The die has been cast. Now, it is up to the voters to decide! After a no-holds-barred campaign, it is time for the people of the Capital to come out and exercise the franchise at 13,750 polling booths on Saturday.

While the ruling AAP is making a bid to return to power, the BJP is seeking to get its chief minister in the National Capital after 20 years. The Congress, which has ruled Delhi for 15 years, is expecting resurgence in its vote share which switched to AAP in 2015 when Arvind Kejriwal's party won 67 of the 70 Assembly seats. The BJP had won three and the Congress none in 2015.

Over 1.47 crore people, including 2.08 lakh first-time votes are eligible to vote today. Of the 672 candidates in the fray, 148 are independents and 79 women. In 2015 the poll percentage was 67.47 while it was 65.86 in 2013.

THE LAST LEG

In the last few days before the poll day, AAP and BJP used all their might trying to woo voters through rallies, roadshows and door-to-door meetings across the Capital. Some star campaigners of the Congress, which otherwise showed a low-key attempt, were also seen building the momentum with a few rallies and public meetings in the last few days. Having tried to fight much of the election campaign on the strength of its government's achievements, particularly in health and education, Arvind Kejriwal's AAP was forced to address the BJP's persistent attacks on him as an anti-national a couple of days ahead of polls.

The BJP, through its top brass including Prime Minister Narendra Modi, Home Minister Amit Shah and Uttar Pradesh chief minister Yogi Adityanath, tried to corner the AAP government on issues of governance and, of course, Shaheen Bagh, where women are leading one of the longest anti-CAA protests.

Throughout the campaign, Kejriwal held 200 meetings, which included 34 roadshows, 15 public meetings and 13 townhalls. The BJP organised thousands of meetings, padyastras and roadshows and rallies addressed by top leaders including Modi and Shah. The Congress held four public meetings addressed by Rahul Gandhi and Priyanka Gandhi and 150 small public meetings with star campaigner.

""Delhi BJP held 6577 meetings for the Assembly elections from December 22, 2019 to February 6, 2020 including Nukkad meetings, roadshows and rallies. PM Narendra Modi had addressed three rallies, HM Amit Shah held 52 public meetings, roadshows and nukkad meetings. National president Jagat Prakash Nadda had 41 public meetings, roadshows and nukkad meetings,"" said BJP's convener of Assembly Election Committee and national secretary Tarun Chugh.

Delhi has traditionally voted differently in Assembly and general elections. BJP has, so far, retained its 32-35 per cent vote share in Assembly polls in Delhi. It, however, got 46.5 per cent in 2014 Lok Sabha polls and 56.5 per cent in 2019. For AAP, the share plummeted to 18 per cent in 2019 from 33 per cent in 2014 elections.

MANIFESTOS FOR A BETTER DELHI

All the three parties promised a better Delhi in their manifestos. AAP's 28-point manifesto focused mostly on its earlier promises while talking of a deshbhakti course in government schools. Apart from taking forward the 13 assurances that featured in the 70-point action plan of 2015, AAP's 2020 manifesto had promises of reviving the Yamuna, justice for victims of 1984 Sikh riots, and regularisation of unauthorised colonies, to name a few.

It also promises to consider keeping shops, restaurants open round the clock on the lines of Mumbai. BJP offered a host of promises, including some freebies and Rs 10 lakh jobs, promotion of e-vehicles, availability of wheat flour to poor families at Rs 2 per kilogram. Congress offered free electricity up to monthly consumption of 300 units, 25 per cent of the budget to environment to curb pollution.

MULLAH, MEMES AND DRUGS

Election officials said that the law enforcement agencies - Delhi Police, Excise Department and Narcotics Control Bureau have seized illegal cash, liquor, and contrabands to a tune of Rs 55.

crore with Rs 10 crore cash. The numbers are much higher, in fact 25 fold, than last Assembly election (2015) when Rs 2.1 crore was seized ahead of polls. Unlike, 2015, the 2020 poll campaign by all three parties witnessed a social media slugfest being played out on Twitter, Facebook and Instagram - with the ostensible objective of wooing Delhi's more than 17 lakh voters aged between 18 years and 25 years.

The choice of arsenal in the aggressive round of exchanges was live videos on Facebook and Instagram, apart from, of course, scorching memes.

WAR OF WORDS

Even as the campaigning ended on Thursday, AAP, BJP and the Congress indulged in a war of words on Friday. A day after an officer on special duty in Delhi deputy chief minister Manish Sisodia's office was arrested by the CBI for alleged bribery, BJP MP Parvesh Verma drew a link between the incident and the Shaheen Bagh protests. ""OSD is just for name... This money goes into Delhi deputy chief minister Manish Sisodia's pocket, who spends it on biryani for people at Shaheen Bagh,"" Parvesh Verma, told a news agency.

Sisodia promptly responded to the BJP MP's comment by sending him a legal notice. Sisodia had earlier took to Twitter saying that he was aware of the arrest of a GST inspector for taking bribe. ""This officer was posted in my office as OSD. CBI should get him punished strictly.

I have got many such corrupt officials caught in last five years,"" Sisodia tweeted. Delhi Congress chief Subhash Chopra said that the OSD will not take bribe without the consent of his boss - Manish Sisodia.",BJP
"KOLKATA/HOWRAH: Aishe Ghosh on Friday attacked RSS and its affiliates BJP and ABVP for targeting the student community and democratic atmosphere on campuses. The JNU students' union president was at Jadavpur University to address members of the Students' Federation of India (SFI). She said the RSS feared the nation-wide agitation by students against its ideology of a homogeneous culture and ""Hindi, Hindu, Hindustan"".

Sources on campus said Ghosh attacked ABVP because the RSS-affiliated students' body has fielded nine candidates in various panels in Arts and engineering for the first time. ""It (ABVP) is an organization which sends masked goons to campuses to beat up those who stand for the rights of students and campus democracy. They believe in using force whereas universities are places that provide space for free speech and debates,"" said Ghosh.

ABVP had earlier objected to Ghosh's programme on the campus as the modal code of conduct has come into play. After the university authorities refused permission, Ghosh's programme was shifted outside gate 4.

Earlier in the day, after walking in a rally in Howrah, the students' leader said the Trinamool was creating space for RSS and BJP in the state by preventing others from hitting the streets against CAA and NRC. ""If Trinamool was serious about resisting CAA and NRC, they would have aligned with other like-minded organizations,"" said Ghosh who was prevented from attending a programme in Calcutta University on Thursday.

""The objective of Trinamool Congress is to create space for BJP and RSS in the state by muzzling all other voices,"" Ghosh signed off.

In the evening, Ghosh addressed students at presidency University before visiting the sit-in at Park Circus to interact with the protesters who have been demonstrating there for over a month. More than 1,500 people turned up to see her. ""I have immense respect for you who have been protesting here to save the country and the Constitution despite having so many other responsibilities. You are making a huge sacrifice and I have come to assure you that the entire student community is behind you. I will go back to Delhi and tell my comrades about the brave women of Kolkata. You have have scared the fascist forces who were trying to divide us on the basis of religion,"" Ghosh told the crowd.",BJP
"THIRUVANANTHAPURAM: Amid a high voltage protest and boycott by the opposition Congress-led UDF, on Wednesday presented his policy address in the assembly and read out references to anti-CAA resolution passed by the house, despite disagreeing with it.

Reading out the the anti-CAA stand of the state government, the governor said, ""Our citizenship can never be on the basis of religion as this goes against the grain of secularism which is part of the basic structure of our constitution.""

Referring to the unanimous anti-CAA resolution passed by the assembly, Khan, who has been at loggerheads with the state government for moving the Supreme Court against the law and the resolution against it, said the government believes the Act ""goes against the cardinal principles"" underlying the Constitution.

""Strong states and strong centre are pillars of our federalism. The voices of genuine apprehension of the states need to be considered by the central government in the right spirit keeping broad national interest in mind, particularly when constitutional values are involved and there are widespread anxieties and apprehensions among a large number of our citizenry,"" he said.

It's learnt that the governor decided to read out the reference to the state's anti-CAA stance after a letter was sent by Vijayan on Wednesday morning, in which the chief minister had requested Khan to read the policy address ""in its entirety sans any additions or deletions.""

""Since the constitutional function under Art 176 is exercised with the aid and advise of the council of ministers, it is requested that the address approved by the council of ministers be read in its entirety sans any additions or deletions,"" the letter stated.

The day also saw an unprecedented protest by the UDF members, who also boycotted the policy address.

As the governor was being ushered into the assembly hall by Speaker P Sreeramakrishnan and chief minister Pinarayi Vijayan, UDF members, blocked Khan, raised ""Go Back"" slogans holding aloft ""Repeal CAA"" and ""Recall governor"" placards and banners.

Speaker was seen repeatedly trying to pacify the agitating MLAs but in vain, after which the watch and ward personnel, who stood as a wall protecting the governor, cleared his path to the dais.

In his policy address, Khan said though he had his ""reservations and disagreement"" over the subject, he would read the para 18 containing reference to anti-CAA matter, just to ""honour"" the wish of the Chief Minister.

When Khan began his policy address, the opposition members trooped out of the assembly hall raising slogans and staged a sit in protest at the gate of the Assembly.

""This august body (Kerala Assembly) unanimously passed a resolution requesting the Central government to abrogate the CAA 2019 which my government believes goes against the cardinal principles underlying our Constitution,"" he said.

The government has also filed a petition in the supreme court invoking Art 131 of the constitution, Governor said.

As he was leaving the assembly, reporters asked him about the unprecedented protest faced by him, to which the Governor quipped that he had faced worst protests than this.

Meanwhile, taken by surprise over the governor's move to read out Anti CAA reference in his address, Leader of Opposition, Ramesh Chennithala, who protested along with his front MLAs, told media that the state government and the Governor had come to a ""truce"".

""The double stand of the chief minister has been exposed now. The CM begged the Governor to read the policy address in full.

Why is the CM silent on the Governor who has insulted the people of Kerala? This is a ploy to escape from the Lavlin case which may come up soon,"" Chennithala alleged.

The Top Court has been hearings a batch of petitions challenging the Kerala High Court's 2018 order discharging Vijayan, the then State Electricity Minister, and others in an alleged graft case involving an award of contract to a Canadian firm SNC-Lavalin for the renovation and modernisation of three Hydroelectric projects in 1997.

Expressing solidarity with the Governor, BJP's Kerala unit took out a march to the Assembly complex.

Attacking the UDF, former BJP President, Kummanam Rajashekharan asked, ""who gave authority to Congress to stop the Governor?..""

""By blocking the Governor, the UDF has insulted the people of Kerala,"" he said.

Khan had made it clear that he was not a ""rubber stamp"" and it was ""improper"" that he was not informed by the government before moving the apex court.",congress
