Sr No,Event,Article ,Headline,Publisher,Label
180,,"The Union government is all set to roll out the Goods and Services Tax (GST) that will subsume 16 different taxes, including excise, service tax and VAT from July 1, 2017. Dubbed the biggest taxation reform since Independence, it will be officially launched by President Pranab Mukherjee on June 30, 2017 midnight at the Central Hall of Parliament. Vice President Hamid Ansari, Prime Minister Narendra Modi, Lok Sabha Speaker Sumitra Mahajan and former Prime Minister H.D. Deve Gowda are among the top dignitaries attending the event. Two short films on GST will be screened on the occasion. The Congress, the Trinamool Congress, the Rashtriya Janata Dal, the DMK and the Left parties are boycotting the launch, while the Samajwadi Party is yet to decide. The JD(U), which broke ranks with the Opposition on the President?s election, has decided to register its presence by sending the Bihar Energy Minister to the event. Bihar Chief Minister Nitish Kumar will not attend and JD(U) MPs are free to attend or keep away. The Nationalist Congress Party (NCP) broke ranks with the Opposition and is attending the function as ?it had supported the legislation during its passage?. NCP supremo Sharad Pawar will be present at the launch. Union Finance Minister Arun Jaitley has urged the Congress and Left parties not to ?disassociate? from the decision they were a party to. The Samajwadi Party is unsure about attending the function. ?Whether we attend the midnight GST launch or not will be known later in the day,? said senior SP leader Naresh Agarwal. Mr. Agarwal on June 29, 2017 termed the GST a ?black law? that was ?similar to reestablishment of the East India Company in the country?. His colleague, senior leader Rajendra Chaudhary, however, said the SP was always in favour of the tax reform. Justifying the NCP's divergent position from that of most Opposition parties, senior party leader Tariq Anwar said his party had supported legislation during its passage and there was no reason for it to skip the function.",,,
181,,"On Saturday, as the capital got its first taste of the Goods and Services Tax (GST), traders expressed hope for the road ahead, but also expressed some doubts on how to implement the new system. Founded on the concept of ?one nation, one market, one tax?, the Centre has maintained that the GST will be beneficial to consumers by bringing down prices, curbing inflation and, ultimately, reducing delays in tax payments. At Chandni Chowk, Sanjay Bhargava, the general secretary of Chandni Chowk Sarv Vyapar Mandal, maintained ? like most others ? that the GST was a positive step. But he added, ?I work in the textile sector where procurement of fabric has not been taxable until now. Earlier, special excise duty was charged on textile but only on dispatching of fabric by manufacturers. Moreover, most dealings are done manually, and people don?t have access to computers. They don?t know how GST needs to be implemented. This could create problems in compliance.? At Sadar Bazar, the largest wholesale market in the capital, there were a few first-day hiccups. Some traders said they were still waiting for their GST identification number, while others ? who have never used a computer ? said they were grappling with the new software. ?I am not quite sure how this software works. I have never used a computer before because I would use books to keep records. I am 67 now; it?s tough for me to learn all of this,? said Somesh Jain of Jain Traders, which deals in wholesale plastic work. Some chemists in Delhi expressed uncertainty about the impact it would have on business. ?We have decided to first finish what we have left and have stopped billing for the time being. We have not called for fresh stock right now,? said a chemist at Batra Medicos in Saket. Many restaurants and bars shut early on Friday, while others said they introduced the new rules after midnight. Take, for instance, Hard Rock Cafe, which remains open till 1 am. ?New rules and rates were applied from today morning. For customers who were there post 12 am, we took the decision to clear their bills before midnight. So, we let them sit till after midnight, but they were charged the old rates before GST was to come into effect. We think our revenue will increase because more people will come since taxes have reduced,? said Suresh Kumar, manager of the Saket Branch. Delhi Deputy Chief Minister and Finance Minister Manish Sisodia has expressed some apprehensions over the ?hurry? in implementation of GST. A government official maintained, ?Prices, we feel, might go up in many cases and that is not what was envisioned. We hope the confusion clears in the coming days, and we are doing all we can for it.?",,,
182,,"Prime Minister Narendra Modi on Friday dubbed the overall of India?s tax system through a unified goods and services tax (GST )as a ?good and simple tax? which will end the harassment of traders and small businesses while integrating India into one market with one tax rate. At a midnight event to launch the Goods and Services Tax (GST) at the historic central hall of Parliament, Modi said the indirect tax reform is a result of combined efforts of various political parties at different points of time. ?Today, the GST council met for the 18th time. It is significant that the Gita has 18 parts. As far as something seems, as impossible it seems to achieve, it can be obtained through hard work,? Modi said, quoting Chanakya. GST, he said, is an example of cooperative federalism as the Centre and states together thrashed out a new law with consensus. Besides being a transparent and fair system that will end generation of black money and corruption, GST will promote new governance culture that will end harassment at the hand of tax officials, the prime minister said in his speech. Touching upon initial teething troubles that may be witnessed as six crore small businesses switch over to an online return filing system, the Prime Minister compared the GST rollout to the process of wearing corrective spectacles. ?Yes, there are some who are not comfortable with technology. Even if you go to a trusted eye doctor, if your eye power changes, then you still have to adjust for a few days. This (GST) is like that. GST is such a catalyst that will end the imbalance in India?s development. GST, much like our railway, will be run by the centre and the states. For the first time, centre and state officials will work together: Mr. Modi says. Modi also said that GST would eliminate the compounding effects of multi-layered tax system. ?Tonight, at midnight, we will together move the nation forward. In a little while, the country will move in a new direction. 125 crore people will benefit from this. I don?t agree that GST benefits are limited to just the economy. This path we have chosen is not one party or one governments. It is the result of our combined efforts. We have come together tonight at the central hall of parliament,?  Modi said. The Congress termed the midnight launch, which was attended by President Pranab Mukherjee, Vice-President Hamid Ansari, Lok Sabha Speaker Sumitra Mahajan and former prime minister H D Deva Gowda besides various Bollywood stars and industrialists, as ?tamasha?, saying it was being rushed in a ?half-baked? manner as a ?self- promotional spectacle?. In his speech, President Pranab Mukherjee pointed out that the GST launch was a journey that began in 2002. ?This historic moment is the culmination of a 14-year journey that began in 2002. The introduction of GST is a momentous event for the country and moment of personal satisfaction for me. As part of the empowered committee, I had the opportunity to meet the chief ministers of Gujarat and Maharashtra, among others. I remained confident that GST was only a matter of time. This was justified when on 8 November 2016, I had the opportunity to give assent to the GST legislation. It has pleasantly surprised everybody by completing its task on time,? the President said. The government promises that the transition to a single, nationwide tax on goods and services will streamline business and boost the economy by tearing down barriers between 31 states and union territories. It is estimated to add 0.4% to 2%to GDP growth. But some businesses are still figuring out how it will work as they race against time to adopt or upgrade cash registers and computer systems, so they are able to file monthly tax returns to comply with the new regime.",,,
183,,"On any routine day, it could have been a fine routine lunch and chit-chat time at little over 2 PM at the Income Tax building on Main Road in the city. But implementation of Goods and Services Tax (GST) in another 10 hours is what has kept all the staff of newly bifurcated GST wing in the building on their toes. Everyone is visibly busy setting up systems to files to anything and everything from here to there, so that a working system could be developed or at least on the day GST is launched. Apparently, it?s not only traders on roads and in their shops who claim not to be ready for new tax regime on their part, but even government officials appear to be as busy if not less as any bank employee on November 10 last year, the day when bank branches opened for the first time after demonetization. ?The situation is almost the same here. You can see everyone busy doing at least one thing or the other, and we have been working tirelessly here in the building since some time. We want to leave no stone unturned from our part of preparedness, as there are people on the other side of the road already accusingly claiming that even government officials are not ready,? said an official who has been recently transferred to GST wing. It is true that carrying views of friends and follies on both side of shoulders, the government is ready to hammer the bell of GST in existence at Parliament House at sharp 12 Midnight of June 30-July 1. ?At the same time, it is also true that no one is very much clear what he is going to do in days to come. As far as we are concerned, we have been shifted to Audit wing of GST. But it is going to take at least six months for things to be streamlined and everyone in the system to be familiar with exactly what and how one have to perform his task,? said Administrative Officer Anil Kumar, who has been transferred to Audit wing with office at Ashok Nagar-Argora Road. ?It used to be large tax office earlier. But now that entire GST wing is combined in only two offices for whole Jharkhand, one in Ranchi and another in Jamshedpur, we are going to have three different verticals coming in this office and none of the verticals is clear about their workplace and other things. We are in process of setting up all those things,? added Kumar. Meanwhile, ex-Deputy Chief Minister and AJSU Chief Sudesh Mahto has said that the GST was good for traders in State. He, however, added that government needed to listen to the traders? problems and help them getting their issues solved.",,,
184,,"While responding to a question in the Lok Sabha on Friday, the government said that it has not studied or assessed the ?impacts and after-effects? of demonetisation. The minister of state for finance, P. Radhakrishnan, responded with a ?no? when asked if the government had studied the impacts of demonetisation on the economy. On November 8, 2016, the Prime Minister Narendra Modi had announced the decision to suddenly demonetise notes of Rs 500 and Rs 1000. It led to severe hardships suffered by almost the entire population in the country. Modi had argued that a large part of the currency will be returned putting an end to the stock held as black money. Recently, the agriculture ministry hadÿadmittedÿto a parliamentary standing committee that demonetisation caused severe hardship for farmers. It said that due to the withdrawal of currency notes, farmers were unable to buy seeds and fertilisers when it was time for them to sow. ?India?s 263 million farmers live mostly in the cash economy. Millions of farmers were unable to get enough cash to buy seeds and fertilisers for their winter crops. Even bigger landlords faced a problem such as paying daily wages to the farmers and purchasing agriculture needs for growing crops,? the ministry had said. However, a week later the agriculture ministryÿwithdrewÿthe report and served show cause notices to officers who were responsible for the earlier report. The new report submitted by the agriculture ministry said that demonetisation had caused no adverse impacts on farmers in the country. P. Radhakrishnan also said in his response on Friday that 99.3% of the money in circulation was returned to the RBI. ?As per data published in Annual Report 2017-18 of the Reserve Bank of India, the total value of Specified Bank Notes (SBNs) in circulation as on November 8, 2016, post verification and reconciliation, was Rs 15,417.93 billion, and the total value of SBNs returned from circulation was Rs 15,310.73 billion,? he said.",,,
185,,"With nearly 99% of banned Rs 1,000 and Rs 500 notes back with the RBI, questions are now being raised about the economic rationale and success of demonetisation, and whether it could hurt the economy not just in the near term but also in the medium term. How do the ground realities compare with some of the stated aims of demonetisation? By withdrawing high-value currency notes, the government had reckoned that those holding unaccounted cash or black money would not deposit it in the banking system, thereby hitting this hoard. The Prime Minister had said it was important to isolate the dishonest. The expectation was that notes worth over Rs 4 lakh crore wouldn?t return to the central bank. Now, with 98.96% of Rs 500 and Rs 1,000 notes back, the bottom has been knocked out of that argument. What it indicates is that unaccounted funds could be in forms other than cash, such as realty and gold. Although this was not explicitly mentioned as a major policy objective when demonetisation was announced on November 8, 2016, the government subsequently said that one of the aims was to bring about a shift from a cash-based economy towards more digital or electronic forms of transaction. In the first flush after the withdrawal of high-value notes, with most people short of cash because of restrictions, there was a spurt in electronic transactions ? through prepaid wallets, debit and credit cards, NEFT (National Electronic Fund Transfer). From 671.49 million transactions in November last year, it rose to 957.50 million in December at the end of the government?s deadline on cash withdrawal. Subsequently, however, electronic transactions headed southwards as the lack of infrastructure started showing, including a shortage of PoS (point of sale) machines, with manufacturers unable to supply a high number of machines in short time as the demand for these soared.",,,
186,,"Demonetisation as a means of tackling the black economy was destined to fail. It was carried out on the incorrect premise that black money means cash. It was thought that if cash was squeezed out, the black economy would be eliminated. But cash is only one component of black wealth: about 1% of it. It has now been confirmed that 98.8% of demonetised currency has come back to the Reserve Bank of India. Further, of the ?16,000 crore that is still out, most of it is accounted for. In brief, not even 0.01% of black money has been extinguished. Black money is a result of black income generation. This is produced by various means which are not affected by the one-shot squeezing out of cash. Any black cash squeezed out by demonetisation would then quickly get regenerated. So, there is little impact of demonetisation on the black economy, on either wealth or incomes. The government is highly embarrassed, and to cover it up, it has again changed the goalpost. It now argues that it is good that black money has been deposited in the banks because those depositing it can now be caught. But the government had tried to prevent people from depositing demonetised currency by changing rules during the 50-day period. It is now fighting hard in the Supreme Court against giving one more chance to deposit the demonetised notes that may have been left with the old and the infirm. The government changed the goalpost earlier in November 2016 when it suggested that the real aim of demonetisation was a cashless society. Now it says that idle money has come into the system, the cash-to-GDP ratio will decline, the tax base will expand, and so on. But none of these required demonetisations and could and should have been implemented independently. Further, anticipating the failure of demonetisation in 2016 itself, the government started saying that demonetisation is only one of the many steps to tackle the black economy. The government?s argument that cash coming back to the banks will enable it to catch the generators of black income, and there will be formalisation of the economy, does not hold. Much of the cash in the system is held by the tens of millions of businesses as working capital and by the more than 25 crore households that need it for their day-to-day transactions.",,,
187,,"Tax evaders managed to legalise their ill-gotten gains? At least this is what the numbers make us feel as 99.3 per cent of demonetised notes have returned into the system revealed the annual report of 2017-18 released by RBI on Wednesday.ÿThe numbers have come after almost two years since the demonetisation was announced on November 8, 2016. RBI in its annual report for 2017-18 said counting the demonetised notes is over. Of the Rs 15.41 lakh crore worth Rs 500 and Rs 1,000 notes in circulation on November 8, 2016, when the demonetisation was announced, notes worth Rs 15.31 lakh core (99.3 per cent) have been returned. The ?humungous task of processing and verification of specified bank notes (SBNs) was achieved,? it said. This meant just Rs 10,720 crore of the junked currency did not return to the banking system. Political parties were quick to corner the BJP-led Narendra Modi government that demonetised high-value currency notes to curb black money. The withdrawal of notes had sparked an acute shortage of cash in India and hit the economic growth. The bad hangover sustained for months as businesses were hit and lakhs of people lost jobs, while 104 people died standing in long queues struggling to get their old currency exchanged or deposited. Senior Congress leader P Chidambaram slammed the government after the RBI report saying the Indian economy had suffered due to the note ban by way of job loss, closure of industries and the GDP growth. ?Indian economy lost 1.5 per cent of GDP in terms of growth. That alone was a loss of Rs 2.25 lakh crore a year. Over 100 lives were lost. 15 crore daily wage earners lost livelihood for several weeks. Thousands of SMEs were shut. Lakhs of jobs were destroyed,? Chidambaram tweeted. In a series of tweets, the former finance minister also said RBI figure has suggested that the government had actually demonetised only Rs 13,000 crore and the ?country paid a huge price? for it. But RBI has said Rs 10,720 crore of the junked currency didn?t return to the banking system. Chidambaram said every rupee of the Rs 15.42 lakh crore, barring a small sum of Rs 13,000 crore, has come back to RBI. ?I suspect the bulk of the Rs 13,000 crore is currency in Nepal and Bhutan and some that was lost or destroyed. Remember who had said that Rs 3 lakh crore will not come back and that will be a gain for the government!,? he said. West Bengal chief minister Mamata Banerjee said her apprehensions about the impact of demonetisation on the Indian economy had been held true by RBI report. ?As soon as the draconian demonetisation was announced on November 8, 2016, I immediately sensed by intuition that this is a big anti-people measure. It will severely affect the common people of the country, especially, farmers, unorganised sector, small entrepreneurs and hard-working middle class. Today, RBI in its annual report has vindicated our apprehension,? Banerjee wrote on her Facebook page. Quoting RBI report, the Trinamool Congress supremo said 99.3 per cent of the demonetised money has come back to the banking system. ?My first question now is ? where has the black money gone?? she remarked. Raising doubts about the entire demonetisation exercise, Mamata asked if it was a ?scheme hatched to allow some black money holders to quietly convert their black money into white?. The Modi government had listed curbing black money as the primary intention of the move, along with making India a less cash-based economy. But the goal posts kept shifting in the weeks and months since with the government citing several reasons to demonetise high value notes such as to choke terror funding, bribery, increasing tax base and checking counterfeit notes. Interestingly, compared with the previous year, there was an increase of 35 per cent in counterfeit notes detected in the denomination of Rs 100, while there was a noticeable increase of 154.3 per cent in counterfeit notes detected in the denomination of Rs 50. In new series of banknotes in the denominations of Rs 500 and Rs 2000, counterfeit notes detected during 2017-18 were 9,892 and 17,929 against 199 and 638, respectively, during the previous year.",,,
188,,"On November 8, 2016, in the evening, the Prime Minister of the country Narendra Modi announced on the television that post mid-night all the currency of Rs 500 and Rs 1000 will become invalid.ÿ This single decision was taken to flush out 86 per cent of the currency of the world?s seventh largest economy. It was termed as demonetisation. In the past, the world over, there have been a few such attempts but not one was successful. No expert has ever proposed such a step. The economists by and large have never endorsed such a line of action. So what prompted the Government of the day to make such an announcement? Was it the decision of one individual or the collective wisdom of the Cabinet? Were the experts consulted at all and was their opinion given any heed while going ahead with demonetisation? Several thoughts came to one?s mind on that day: was it a dictatorial decision? Was it a whimsical decision? Or was it sheer economic adventurism or political expediency which guided this decision? Read on to grasp the myth and the reality of demonetisation. We were told by the Government and the spokespersons of the ruling party that demonetisation was the single most important step to curb black money and digitise the Indian economy. The myth purported was that demonetisation would completely eliminate black money from the Indian economy. The reality is that as per the RBI report, 99.3 percent of the demonetised currency has crept back into the economy! Demonetisation was professed to be an attack on crony capitalists; in reality it broke the back of India?s teeming millions; the low and middle-income groups were worst affected. Black money recovered from the system after demonetisation was expected to be ploughed back into the economy as public investments in infrastructure and other public welfare projects; the reality is that demonetisation choked small and medium enterprises and brought millions of daily wage earners in the country on the brink of economic despair and starvation. Instead of being a well-thought out scheme with a clear implementation plan demonetisation resulted in serpentine queues of millions of under-privileged Indians for weeks on end resulting in what some authentic sources say the death of over a hundred people. A similar exercise in a Latin American country a few years ago had caused widespread riots and looting of banks; it goes to the credit of the common folk of this great country who bore the brunt of demonetisation with courage and fortitude. In retrospect, they were all misled by the myth that demonetisation was a fight against black money and corruption. On the second anniversary of the deed recently, the myth was shattered and the stark reality was evident to the people of this country. Demonetisation has proved to be a dictatorial and mindless act keeping short term political gains in mind. Those political gains were achieved in the State elections which followed in Uttar Pradesh and Uttarakhand. But, these short term gains will certainly be reversed in Lok Sabha elections in 2019 and the States which went to poll recently. Short term political expediency will give way to long term political loss. The myth is shattered. Remember, you can fool some people all the time, all people some of the time but not all the people all the time. The people of India will no longer be fooled and they will respond in a quiet and peaceful manner through the ballot box in 2019. Demonetisation was expected to benefit all; this was another myth. In reality, it benefitted one man, one party and the crony capitalists under their care; both politically and financially. The highest amount of cash exchange happened in the banks in a particular State where a particular person, chairperson of a particular political party was on the board of directors. In the name of digitisation of the economy one particular digital payment company benefited, their consumers and profits increased manifolds while the common man was majorly inconvenienced and the economy suffered. For small gains, the whole nation was put through tremendous hardships. The money spent on printing new currency and recalibrating the ATMs with the damaging effect of countless livelihoods was never considered as a cost by the Government at all. Small businesses were affected-many haven?t been able to recover even now, two years down the line. As the fiasco of demonetisation unfolded, the reasons for it as per the Government kept changing. From curbing black money, it changed into encouraging digital economy to starving the cash flow to terrorists and stone pelters to stopping counterfeit currency etc. The goal post kept changing almost every day. However, now we know for sure all these were myths peddled by the Government for most of the cash is back in the system, we are back to the same level of cash transactions, terrorists are as active as before and Rs 2000 note is easiest to counterfeit. Demonetisation helped the rich to convert their black money into accounted cash. Another benefit of demonetisation was supposed to be the increasing tax compliance. The numbers of returns filed have surely increased however the quantum of increase in the tax collection is not known as yet, whether it was worth the pain the people and the economy had to suffer. It was a misadventure, of a kind which should never happen with any country, its economy and its people. Perhaps, if RBI had taken a firm stand as it did recently with regards to access to its reserves, the nation would have been spared of much of misery. Thus, one wonders if demonetisation was a carefully thought out step to benefit the national economy and its people or was it a Tughlaqi idea to benefit a party and its short term agenda.",,,
189,,"The Reserve Bank of India released its annual report for 2017-18 on August 29, 2018. That 99.3% of the demonetised currency has come back to the banking system has been the most talked about part of the report, but this is not exactly new information. It was already known that most demonetised currency had come back to the banking system. The statistics worth looking at in this year?s report are those which give details about the denomination-wise break-up of the currency in circulation. These figures are better than last year?s figures because now the remonetisation process can be assumed to have been fully completed. Not much seems to have changed in terms of value. Slightly more than one-third of the total currency in circulation was in denominations greater than Rs 500 at the end of March 2018, which is nearly the same as the corresponding values in March 2015 and 2016, the last two years before demonetisation. However, things have changed drastically in terms of volume. The share of currency in denominations greater than Rs 500 has more than halved in March 2018, compared to what it was in March 2016. This is basically the result of ?2000 notes replacing Rs 1000 notes. In a perfect world, this should not matter. The supply of currency both in value and volume terms has increased compared to what it was before demonetisation. But this could have changed things in a big way in the conduct of day-to-day transactions. Here?s why. A person conducting a retail cash transaction above Rs 500 in the pre-demonetisation period would have needed a lesser amount in change than she would in the post-demonetisation world. The reason being, she will now have to get a Rs 2000 note changed and not a Rs 1000 note which was the case earlier. Ceteris paribus this is bound to lead to an increase in transaction demand for notes with denominations up to Rs 500. Given the fact that the share of currency notes of denominations up to Rs 500 has not changed before and after demonetisation, there is a probability of increased cash crunch in day to day cash transactions. Should the RBI have altered the distribution of currency in circulation after demonetisation in favour of lower denomination notes? The 2017-18 Annual Report?s statistics on indent (reacquisition) and supply of different denominations of currency notes supports this argument. Indeed, through 2017, and 2018, several news reports have said RBI is stepping up printing of smaller denomination currency notes. The shortfall in supply compared to indent of ?100 notes was more than 60% in 2017-18.",,,
